01-04,GSW-ORL,90-110,Team,
28-24,25-20,18-35,19-31,
GSW
Dorell Wright,F,45:49,7,16,0.438,2,6,0.333,1,2,0.500,1,5,6,4,2,0,1,2,17,-12.000
Vladimir Radmanovic,F,23:00,4,6,0.667,1,2,0.500,0,0,0.000,4,2,6,0,1,2,4,3,9,-1.000
Lou Amundson,C,19:36,2,7,0.286,0,0,0.000,1,2,0.500,2,3,5,2,2,0,0,4,5,-13.000
Monta Ellis,G,38:51,8,19,0.421,1,5,0.200,3,3,1.000,1,6,7,4,1,0,2,2,20,-24.000
Stephen Curry,G,35:00,5,13,0.385,3,6,0.500,2,2,1.000,0,6,6,5,2,0,5,3,15,-13.000
Ekpe Udoh,,20:10,3,8,0.375,0,0,0.000,0,0,0.000,2,2,4,1,0,1,1,1,6,-6.000
Acie Law,,11:40,0,3,0.000,0,1,0.000,0,0,0.000,0,0,0,0,1,0,1,0,0,-6.000
Reggie Williams,,17:49,2,6,0.333,1,1,1.000,2,2,1.000,1,1,2,1,0,0,5,2,7,-12.000
Brandan Wright,,18:39,3,6,0.500,0,0,0.000,1,2,0.500,1,5,6,1,0,0,0,2,7,-10.000
Dan Gadzuric,,9:26,2,4,0.500,0,1,0.000,0,0,0.000,1,0,1,1,0,0,0,6,4,-3.000
ORL
Hedo Turkoglu,F,38:27,3,9,0.333,1,3,0.333,3,4,0.750,1,13,14,10,5,0,2,3,10,15.000
Brandon Bass,F,25:31,3,8,0.375,0,0,0.000,4,5,0.800,0,3,3,0,0,1,0,0,10,2.000
Dwight Howard,C,42:32,7,9,0.778,0,1,0.000,8,12,0.667,6,11,17,3,2,1,5,2,22,24.000
Jason Richardson,G,39:10,8,16,0.500,4,7,0.571,0,0,0.000,1,4,5,2,0,1,4,2,20,19.000
Jameer Nelson,G,21:52,4,9,0.444,3,5,0.600,0,0,0.000,0,1,1,4,1,0,4,3,11,6.000
JJ Redick,,26:23,4,8,0.500,4,5,0.800,1,1,1.000,0,0,0,3,2,0,1,3,13,13.000
Ryan Anderson,,19:01,4,7,0.571,2,5,0.400,3,3,1.000,1,1,2,2,0,0,0,1,13,6.000
Gilbert Arenas,,26:12,5,11,0.455,1,6,0.167,0,0,0.000,0,0,0,2,1,1,3,1,11,14.000
Quentin Richardson,,0:52,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
