01-05,ATL-SAC,108-102,Team,
27-23,27-17,23-23,31-39,
ATL
Josh Smith,F,40:41,5,11,0.455,0,2,0.000,4,7,0.571,1,10,11,6,1,2,5,4,14,9.000
Jason Collins,F,15:06,1,1,1.000,0,0,0.000,0,0,0.000,1,1,2,0,1,0,0,2,2,5.000
Al Horford,C,37:10,4,14,0.286,0,0,0.000,2,2,1.000,3,5,8,4,0,1,3,0,10,9.000
Joe Johnson,G,29:35,12,18,0.667,1,2,0.500,4,4,1.000,0,5,5,1,0,0,1,4,29,13.000
Mike Bibby,G,32:60,3,9,0.333,3,6,0.500,0,0,0.000,3,7,10,4,2,0,2,1,9,5.000
Jamal Crawford,,35:24,10,17,0.588,3,6,0.500,8,9,0.889,0,2,2,7,1,0,3,1,31,2.000
Maurice Evans,,21:52,2,5,0.400,1,2,0.500,0,0,0.000,1,0,1,0,1,0,2,1,5,-7.000
Zaza Pachulia,,17:41,2,2,1.000,0,0,0.000,2,2,1.000,1,7,8,1,0,0,2,5,6,-4.000
Damien Wilkins,,9:04,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,1,2,0.000
Jeff Teague,,0:28,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
SAC
Francisco Garcia,F,26:40,5,10,0.500,2,2,1.000,0,0,0.000,1,1,2,0,0,1,0,2,12,-13.000
Jason Thompson,F,20:31,2,7,0.286,0,0,0.000,0,1,0.000,2,3,5,0,0,0,2,2,4,-6.000
DeMarcus Cousins,C,35:42,11,22,0.500,1,1,1.000,1,1,1.000,4,3,7,2,2,1,2,4,24,-5.000
Tyreke Evans,G,37:36,11,19,0.579,1,4,0.250,6,9,0.667,0,4,4,8,5,2,1,5,29,2.000
Beno Udrih,G,26:20,1,4,0.250,0,0,0.000,1,2,0.500,1,2,3,2,0,0,2,1,3,-10.000
Samuel Dalembert,,17:56,4,7,0.571,0,0,0.000,0,0,0.000,3,3,6,0,0,0,1,2,8,1.000
Omri Casspi,,32:00,4,12,0.333,1,5,0.200,1,3,0.333,2,9,11,2,1,0,1,3,10,2.000
Pooh Jeter,,17:12,2,5,0.400,0,0,0.000,0,0,0.000,0,0,0,6,0,0,0,0,4,-12.000
Carl Landry,,20:08,3,8,0.375,0,0,0.000,2,2,1.000,0,1,1,1,1,0,1,1,8,-3.000
Darnell Jackson,,0:59,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,0.000
Donte Greene,,4:56,0,2,0.000,0,2,0.000,0,0,0.000,0,0,0,2,0,0,0,1,0,14.000
