02-25,BOS-DEN,75-89,Team,
23-18,13-19,24-24,15-28,
BOS
Paul Pierce,F,28:07,7,18,0.389,2,6,0.333,1,1,1.000,1,5,6,0,3,1,2,4,17,-8.000
Kevin Garnett,F,38:16,7,14,0.500,0,0,0.000,0,0,0.000,0,13,13,3,2,2,0,0,14,-8.000
Glen Davis,C,35:60,3,10,0.300,0,1,0.000,5,7,0.714,1,5,6,1,3,2,3,4,11,-15.000
Ray Allen,G,34:46,4,11,0.364,1,5,0.200,1,1,1.000,0,2,2,3,1,0,4,2,10,-13.000
Rajon Rondo,G,43:25,2,7,0.286,0,0,0.000,1,2,0.500,1,3,4,8,2,0,1,4,5,-11.000
Von Wafer,,14:52,1,2,0.500,0,0,0.000,0,0,0.000,0,3,3,1,0,0,0,1,2,-6.000
Chris Johnson,,16:51,2,3,0.667,0,0,0.000,2,2,1.000,0,1,1,0,0,3,1,3,6,-4.000
Delonte West,,23:08,4,11,0.364,0,4,0.000,2,2,1.000,0,2,2,2,2,0,0,1,10,-2.000
Avery Bradley,,4:35,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,1,0,1,1,0,-3.000
DEN
Danilo Gallinari,F,19:34,1,6,0.167,0,2,0.000,0,0,0.000,0,4,4,0,2,3,1,0,2,0.000
Kenyon Martin,F,25:51,8,13,0.615,1,1,1.000,1,1,1.000,2,8,10,1,1,0,2,2,18,6.000
Nene,C,31:55,5,9,0.556,0,0,0.000,2,3,0.667,2,8,10,1,0,2,4,5,12,10.000
Arron Afflalo,G,30:06,5,8,0.625,0,2,0.000,3,3,1.000,0,1,1,3,0,1,1,0,13,11.000
Ty Lawson,G,24:01,1,5,0.200,0,1,0.000,2,4,0.500,1,1,2,10,1,0,1,2,4,12.000
Raymond Felton,,27:50,2,8,0.250,0,0,0.000,0,0,0.000,0,5,5,6,0,0,4,3,4,15.000
J.R. Smith,,26:00,5,9,0.556,1,2,0.500,1,2,0.500,0,8,8,1,0,1,1,2,12,7.000
Wilson Chandler,,25:21,5,9,0.556,3,4,0.750,3,4,0.750,0,5,5,0,1,1,0,1,16,2.000
Al Harrington,,16:05,2,7,0.286,0,3,0.000,1,2,0.500,2,2,4,0,0,0,2,2,5,4.000
Chris Andersen,,13:17,0,1,0.000,0,0,0.000,3,4,0.750,0,3,3,0,1,1,1,0,3,3.000
