03-01,CHI-WAS,105-77,Team,
25-20,25-17,28-20,27-20,
CHI
Luol Deng,F,35:14,9,17,0.529,2,5,0.400,1,1,1.000,1,4,5,3,2,0,2,2,21,24.000
Carlos Boozer,F,27:20,3,11,0.273,0,0,0.000,6,6,1.000,3,7,10,1,0,0,2,3,12,20.000
Joakim Noah,C,33:01,8,10,0.800,0,0,0.000,3,4,0.750,3,8,11,1,2,1,4,3,19,22.000
Keith Bogans,G,16:36,1,2,0.500,1,2,0.500,0,0,0.000,1,0,1,1,0,0,0,2,3,12.000
Derrick Rose,G,32:19,7,17,0.412,2,8,0.250,5,6,0.833,1,4,5,9,3,1,4,0,21,26.000
Taj Gibson,,20:35,2,2,1.000,0,0,0.000,0,0,0.000,3,4,7,1,0,3,0,1,4,8.000
Ronnie Brewer,,19:19,1,4,0.250,0,0,0.000,0,0,0.000,1,2,3,1,1,0,0,0,2,1.000
Kyle Korver,,23:53,4,10,0.400,3,6,0.500,0,0,0.000,0,6,6,1,0,1,2,3,11,17.000
CJ Watson,,15:41,2,5,0.400,0,2,0.000,4,5,0.800,0,1,1,6,0,0,2,0,8,2.000
Omer Asik,,14:59,1,2,0.500,0,0,0.000,0,0,0.000,2,5,7,0,1,0,1,3,2,6.000
Brian Scalabrine,,1:03,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,2.000
WAS
Josh Howard,F,18:47,5,10,0.500,0,1,0.000,0,0,0.000,2,2,4,2,0,0,1,2,10,-12.000
Andray Blatche,F,28:29,6,14,0.429,0,0,0.000,3,3,1.000,5,6,11,1,1,0,1,2,15,-10.000
JaVale McGee,C,27:04,1,3,0.333,0,0,0.000,3,4,0.750,2,6,8,0,0,2,1,3,5,-13.000
Nick Young,G,36:24,6,15,0.400,2,6,0.333,0,0,0.000,1,4,5,1,1,0,2,1,14,-17.000
John Wall,G,38:45,3,14,0.214,0,0,0.000,3,4,0.750,0,3,3,10,2,0,2,3,9,-20.000
Kevin Seraphin,,18:04,2,5,0.400,0,0,0.000,2,2,1.000,1,1,2,0,1,2,2,3,6,-12.000
Rashard Lewis,,9:43,1,3,0.333,1,2,0.500,0,0,0.000,1,0,1,1,0,0,1,3,3,-7.000
Maurice Evans,,19:33,3,7,0.429,1,3,0.333,0,0,0.000,0,0,0,1,0,0,0,2,7,-18.000
Jordan Crawford,,15:37,1,6,0.167,0,1,0.000,0,0,0.000,0,1,1,2,3,0,4,1,2,-17.000
Trevor Booker,,19:28,2,6,0.333,0,0,0.000,0,1,0.000,1,3,4,1,0,2,1,1,4,-9.000
Yi Jianlian,,2:32,1,3,0.333,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,-3.000
Mustafa Shakur,,5:34,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
