03-05,PHX-MIL,102-88,Team,
22-26,23-22,31-15,26-25,
PHX
Grant Hill,F,33:28,4,9,0.444,2,4,0.500,4,4,1.000,0,7,7,3,2,0,3,2,14,12.000
Channing Frye,F,36:37,7,12,0.583,5,8,0.625,1,1,1.000,1,8,9,1,2,0,1,3,20,16.000
Robin Lopez,C,14:40,1,4,0.250,0,0,0.000,1,1,1.000,0,1,1,0,0,0,0,2,3,13.000
Mickael Pietrus,G,34:45,8,14,0.571,3,7,0.429,1,2,0.500,1,7,8,2,0,0,2,3,20,20.000
Steve Nash,G,27:51,3,6,0.500,1,1,1.000,1,1,1.000,1,0,1,13,0,0,7,2,8,26.000
Aaron Brooks,,20:09,3,7,0.429,0,2,0.000,1,1,1.000,0,0,0,3,2,0,2,3,7,-12.000
Marcin Gortat,,32:11,5,11,0.455,0,0,0.000,3,5,0.600,1,5,6,1,1,1,0,2,13,3.000
Jared Dudley,,19:25,3,8,0.375,0,2,0.000,0,0,0.000,2,2,4,2,0,0,1,0,6,-2.000
Josh Childress,,6:24,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,0.000
Hakim Warrick,,11:23,3,4,0.750,0,0,0.000,3,5,0.600,1,1,2,1,0,0,0,1,9,-2.000
Zabian Dowdell,,1:58,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Garret Siler,,1:09,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,1,0,-2.000
MIL
Carlos Delfino,F,26:24,1,7,0.143,1,2,0.500,0,0,0.000,2,7,9,3,5,0,3,0,3,-2.000
Jon Brockman,F,28:43,1,4,0.250,0,0,0.000,1,2,0.500,5,1,6,1,0,0,2,4,3,4.000
Larry Sanders,C,26:04,5,10,0.500,0,0,0.000,0,0,0.000,2,3,5,0,1,1,2,6,10,-19.000
John Salmons,G,35:46,2,8,0.250,0,2,0.000,2,2,1.000,0,4,4,3,0,1,1,1,6,-19.000
Brandon Jennings,G,33:10,5,17,0.294,0,5,0.000,6,7,0.857,0,4,4,1,2,0,2,3,16,-17.000
Earl Barron,,13:23,2,4,0.500,0,0,0.000,0,0,0.000,2,1,3,0,0,1,1,0,4,0.000
Keyon Dooling,,24:24,3,7,0.429,1,3,0.333,2,2,1.000,0,0,0,2,0,0,0,2,9,-8.000
Corey Maggette,,27:50,8,12,0.667,1,1,1.000,4,4,1.000,1,8,9,0,1,0,1,3,21,-13.000
Earl Boykins,,20:20,7,13,0.538,0,2,0.000,0,0,0.000,1,1,2,3,2,0,2,2,14,3.000
