03-24,WAS-LAC,119-127,Team,
21-33,28-25,28-17,25-27,11-11,6-14,
WAS
Trevor Booker,F,23:26,2,6,0.333,0,0,0.000,4,4,1.000,2,2,4,2,1,0,0,4,8,10.000
Yi Jianlian,F,31:49,7,11,0.636,0,0,0.000,0,0,0.000,0,4,4,1,2,0,1,5,14,-6.000
JaVale McGee,C,40:38,9,12,0.750,0,0,0.000,0,2,0.000,4,8,12,0,1,3,1,1,18,9.000
Jordan Crawford,G,42:54,9,23,0.391,2,6,0.333,3,4,0.750,1,4,5,8,2,0,5,3,23,-5.000
John Wall,G,41:26,11,22,0.500,0,0,0.000,5,7,0.714,0,3,3,9,1,1,4,1,27,-4.000
Maurice Evans,,27:18,2,8,0.250,1,3,0.333,0,0,0.000,0,1,1,2,1,1,0,4,5,9.000
Kevin Seraphin,,8:12,1,2,0.500,0,0,0.000,0,0,0.000,2,0,2,0,0,0,1,5,2,-15.000
Othyus Jeffers,,21:37,2,3,0.667,0,0,0.000,1,2,0.500,2,1,3,4,1,0,1,3,5,4.000
Hamady Ndiaye,,2:40,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
LAC
Ryan Gomes,F,16:16,1,4,0.250,1,4,0.250,0,0,0.000,0,1,1,2,1,0,1,1,3,2.000
Blake Griffin,F,41:48,11,16,0.688,0,1,0.000,5,7,0.714,2,11,13,6,1,1,5,5,27,4.000
Chris Kaman,C,39:08,7,13,0.538,0,0,0.000,6,6,1.000,3,7,10,2,1,4,5,2,20,0.000
Eric Gordon,G,37:38,9,16,0.563,3,6,0.500,6,7,0.857,1,1,2,1,0,0,4,2,27,6.000
Mo Williams,G,34:18,6,15,0.400,2,6,0.333,0,0,0.000,0,2,2,9,1,0,5,5,14,9.000
Eric Bledsoe,,11:54,0,3,0.000,0,0,0.000,0,0,0.000,0,0,0,2,1,0,1,1,0,-9.000
Ike Diogu,,0:47,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,0.000
Randy Foye,,21:03,1,3,0.333,0,1,0.000,3,4,0.750,0,1,1,5,0,0,1,2,5,-8.000
Craig Smith,,14:16,1,4,0.250,0,0,0.000,0,0,0.000,1,3,4,1,0,0,0,2,2,-5.000
Jamario Moon,,17:39,0,2,0.000,0,1,0.000,2,2,1.000,1,2,3,0,0,1,0,0,2,5.000
