03-26,MEM-CHI,96-99,Team,
22-21,24-28,27-25,23-25,
MEM
Sam Young,F,19:23,3,6,0.500,0,2,0.000,1,2,0.500,1,2,3,1,1,0,0,0,7,-3.000
Zach Randolph,F,34:19,6,11,0.545,0,2,0.000,4,7,0.571,0,5,5,4,1,1,4,2,16,2.000
Marc Gasol,C,31:60,6,8,0.750,0,0,0.000,2,2,1.000,4,7,11,4,0,3,0,4,14,-4.000
Tony Allen,G,33:13,6,8,0.750,0,0,0.000,1,1,1.000,0,2,2,3,2,1,3,2,13,-3.000
Mike Conley,G,39:49,5,16,0.313,0,4,0.000,2,4,0.500,0,1,1,6,3,0,0,1,12,0.000
Darrell Arthur,,19:53,4,8,0.500,0,1,0.000,2,2,1.000,1,2,3,2,0,3,2,4,10,-4.000
Shane Battier,,15:25,1,2,0.500,0,0,0.000,0,0,0.000,1,1,2,1,0,0,0,1,2,-1.000
O.J. Mayo,,27:60,3,10,0.300,2,4,0.500,1,2,0.500,1,1,2,2,0,0,1,1,9,0.000
Leon Powe,,9:48,1,2,0.500,0,1,0.000,9,10,0.900,0,1,1,0,1,0,0,4,11,1.000
Greivis Vasquez,,8:11,1,2,0.500,0,1,0.000,0,0,0.000,0,2,2,1,0,0,0,2,2,-3.000
CHI
Luol Deng,F,42:03,8,14,0.571,3,4,0.750,4,5,0.800,3,3,6,1,0,0,3,2,23,2.000
Carlos Boozer,F,26:30,5,13,0.385,0,0,0.000,2,2,1.000,4,5,9,2,2,0,3,5,12,0.000
Joakim Noah,C,32:16,2,5,0.400,0,0,0.000,1,1,1.000,0,4,4,1,2,0,0,4,5,3.000
Keith Bogans,G,17:59,2,5,0.400,2,5,0.400,0,0,0.000,0,2,2,2,0,0,0,0,6,-9.000
Derrick Rose,G,37:57,6,22,0.273,0,5,0.000,12,13,0.923,3,4,7,7,0,0,4,1,24,7.000
Ronnie Brewer,,17:31,3,6,0.500,0,0,0.000,1,1,1.000,0,4,4,1,0,0,0,1,7,1.000
Taj Gibson,,15:55,3,3,1.000,0,0,0.000,0,0,0.000,4,3,7,0,0,1,2,1,6,-2.000
Kurt Thomas,,12:27,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,1,0,3,0,1.000
Omer Asik,,8:39,2,2,1.000,0,0,0.000,2,5,0.400,4,0,4,0,0,0,1,3,6,1.000
CJ Watson,,10:04,1,5,0.200,0,0,0.000,3,4,0.750,0,0,0,3,1,0,0,3,5,-3.000
Kyle Korver,,18:40,2,7,0.286,1,3,0.333,0,0,0.000,0,0,0,1,0,0,1,1,5,14.000
