04-03,PHI-MIL,87-93,Team,
30-20,18-19,13-22,18-18,8-14,
PHI
Andre Iguodala,F,35:56,2,7,0.286,0,1,0.000,3,4,0.750,0,3,3,4,2,0,3,1,7,5.000
Elton Brand,F,33:44,7,14,0.500,0,0,0.000,0,2,0.000,3,8,11,3,1,2,0,1,14,5.000
Spencer Hawes,C,27:39,4,12,0.333,0,0,0.000,4,4,1.000,2,5,7,4,2,1,3,3,12,0.000
Jodie Meeks,G,36:49,5,8,0.625,2,3,0.667,1,1,1.000,0,4,4,2,1,0,0,1,13,10.000
Jrue Holiday,G,41:31,5,17,0.294,1,3,0.333,2,2,1.000,2,1,3,8,1,0,3,2,13,0.000
Thaddeus Young,,26:51,6,10,0.600,0,0,0.000,2,2,1.000,1,4,5,0,2,0,2,2,14,-2.000
Lou Williams,,16:19,1,5,0.200,0,2,0.000,1,3,0.333,0,3,3,1,1,0,1,1,3,-6.000
Andres Nocioni,,13:59,1,2,0.500,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,2,3,-7.000
Marreese Speights,,6:58,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-5.000
Jason Kapono,,0:14,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
MIL
Corey Maggette,F,22:04,2,6,0.333,0,1,0.000,4,4,1.000,0,5,5,0,0,0,2,2,8,1.000
Luc Mbah a Moute,F,25:49,5,9,0.556,0,0,0.000,2,4,0.500,0,5,5,0,0,0,3,1,12,-3.000
Andrew Bogut,C,34:00,3,10,0.300,0,0,0.000,1,2,0.500,4,5,9,2,1,0,0,4,7,-2.000
John Salmons,G,40:42,8,11,0.727,1,1,1.000,0,0,0.000,0,4,4,7,2,0,5,3,17,0.000
Brandon Jennings,G,39:45,0,6,0.000,0,2,0.000,4,4,1.000,0,1,1,4,3,0,1,2,4,-5.000
Drew Gooden,,25:08,6,15,0.400,0,1,0.000,0,0,0.000,1,11,12,2,0,0,2,2,12,2.000
Larry Sanders,,10:30,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,2,1,0,0,3.000
Keyon Dooling,,23:24,3,4,0.750,1,2,0.500,1,2,0.500,0,1,1,1,0,1,1,2,8,0.000
Michael Redd,,6:39,2,3,0.667,0,1,0.000,0,0,0.000,0,2,2,0,0,0,0,0,4,3.000
