04-07,DEN-DAL,104-96,Team,
23-17,30-26,19-26,32-27,
DEN
Danilo Gallinari,F,30:45,3,7,0.429,0,1,0.000,4,6,0.667,0,3,3,2,1,0,1,1,10,4.000
Kenyon Martin,F,36:22,9,15,0.600,0,0,0.000,0,0,0.000,3,3,6,1,3,0,2,2,18,1.000
Nene,C,35:48,4,9,0.444,0,0,0.000,1,2,0.500,5,10,15,1,0,1,1,5,9,3.000
Wilson Chandler,G,29:17,6,12,0.500,2,6,0.333,2,3,0.667,0,3,3,2,1,1,2,3,16,11.000
Ty Lawson,G,28:10,3,12,0.250,0,3,0.000,3,3,1.000,2,1,3,8,0,1,2,1,9,9.000
Raymond Felton,,31:53,3,8,0.375,1,3,0.333,2,2,1.000,0,1,1,6,4,0,4,3,9,0.000
Al Harrington,,19:18,4,9,0.444,2,5,0.400,0,0,0.000,1,3,4,0,0,0,2,1,10,7.000
J.R. Smith,,28:27,9,14,0.643,3,5,0.600,2,2,1.000,1,4,5,3,0,1,0,1,23,5.000
DAL
Shawn Marion,F,31:03,10,14,0.714,0,1,0.000,1,2,0.500,4,6,10,0,0,0,1,0,21,-7.000
Dirk Nowitzki,F,33:04,9,16,0.563,0,1,0.000,2,2,1.000,0,7,7,2,0,2,0,2,20,-11.000
Brendan Haywood,C,31:43,0,1,0.000,0,0,0.000,1,6,0.167,8,11,19,2,0,5,1,1,1,-5.000
DeShawn Stevenson,G,5:22,0,3,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,1,2,0,-1.000
Rodrigue Beaubois,G,19:36,2,7,0.286,0,1,0.000,2,2,1.000,0,1,1,1,1,0,4,0,6,-9.000
Jason Terry,,30:56,5,10,0.500,3,8,0.375,2,2,1.000,0,1,1,3,3,0,4,2,15,1.000
Jose Juan Barea,,30:17,5,12,0.417,0,2,0.000,2,2,1.000,0,0,0,10,1,0,4,4,12,-4.000
Peja Stojakovic,,20:41,3,7,0.429,1,5,0.200,0,0,0.000,0,1,1,1,0,1,0,0,7,4.000
Ian Mahinmi,,15:28,0,1,0.000,0,0,0.000,1,2,0.500,3,1,4,0,1,1,0,5,1,0.000
Corey Brewer,,19:53,5,9,0.556,1,2,0.500,2,2,1.000,0,1,1,1,3,0,1,2,13,-9.000
Brian Cardinal,,1:57,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,1.000
