04-12,ORL-PHI,95-85,Team,
34-25,16-22,26-15,19-23,
ORL
Hedo Turkoglu,F,30:59,3,6,0.500,1,4,0.250,0,0,0.000,1,2,3,3,0,0,2,1,7,11.000
Brandon Bass,F,31:04,4,11,0.364,0,0,0.000,0,0,0.000,0,7,7,0,0,1,3,2,8,-5.000
Dwight Howard,C,34:15,6,13,0.462,0,1,0.000,7,9,0.778,2,11,13,4,2,3,4,2,19,10.000
Jason Richardson,G,30:42,5,11,0.455,2,5,0.400,0,2,0.000,1,1,2,5,3,0,0,1,12,14.000
Jameer Nelson,G,33:03,6,13,0.462,5,8,0.625,2,2,1.000,1,2,3,7,2,0,5,1,19,7.000
Ryan Anderson,,22:13,7,11,0.636,3,5,0.600,1,2,0.500,7,7,14,1,2,1,1,2,18,22.000
Chris Duhon,,27:11,2,7,0.286,0,2,0.000,1,2,0.500,2,5,7,4,0,0,0,1,5,4.000
Earl Clark,,22:05,2,7,0.286,0,0,0.000,3,4,0.750,3,2,5,0,0,0,1,2,7,-6.000
Malik Allen,,8:28,0,1,0.000,0,0,0.000,0,0,0.000,2,0,2,0,0,0,0,1,0,-7.000
PHI
Evan Turner,F,25:16,2,7,0.286,0,0,0.000,3,3,1.000,1,1,2,2,1,0,0,1,7,-3.000
Elton Brand,F,37:30,9,15,0.600,0,0,0.000,4,4,1.000,4,1,5,3,2,1,0,3,22,-10.000
Spencer Hawes,C,28:13,2,8,0.250,0,1,0.000,0,0,0.000,1,1,2,2,2,1,1,3,4,-23.000
Jodie Meeks,G,27:56,3,8,0.375,1,5,0.200,0,0,0.000,0,3,3,1,3,0,2,1,7,-23.000
Jrue Holiday,G,38:20,7,16,0.438,1,2,0.500,0,0,0.000,0,4,4,11,0,1,4,1,15,-12.000
Thaddeus Young,,28:05,4,12,0.333,0,1,0.000,1,2,0.500,1,3,4,2,2,0,1,2,9,7.000
Andres Nocioni,,33:53,5,11,0.455,3,7,0.429,0,0,0.000,0,6,6,1,0,0,1,2,13,-6.000
Antonio Daniels,,13:33,1,2,0.500,0,1,0.000,0,0,0.000,0,2,2,0,0,0,0,0,2,11.000
Marreese Speights,,7:14,2,3,0.667,0,0,0.000,2,2,1.000,1,2,3,0,1,0,1,1,6,9.000
