04-25,LAL-NOH,88-93,Playoff,
25-22,20-27,22-20,21-24,
LAL
Metta World Peace,F,34:53,7,10,0.700,2,4,0.500,0,2,0.000,1,3,4,0,2,0,1,2,16,-1.000
Pau Gasol,F,36:27,6,11,0.545,0,0,0.000,4,7,0.571,2,2,4,4,1,3,0,5,16,-5.000
Andrew Bynum,C,34:39,3,8,0.375,0,0,0.000,5,6,0.833,4,5,9,0,1,3,2,4,11,3.000
Kobe Bryant,G,36:05,5,18,0.278,0,3,0.000,7,9,0.778,1,5,6,8,1,0,2,4,17,-1.000
Derek Fisher,G,34:21,4,7,0.571,0,2,0.000,2,2,1.000,0,1,1,2,1,0,1,3,10,-3.000
Lamar Odom,,24:54,1,7,0.143,0,3,0.000,4,4,1.000,1,3,4,0,0,0,2,0,6,-8.000
Shannon Brown,,12:43,3,6,0.500,0,2,0.000,0,0,0.000,0,2,2,0,0,0,1,0,6,-6.000
Matt Barnes,,12:19,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,1,0,0,0,3,0,-2.000
Steve Blake,,13:39,2,3,0.667,2,3,0.667,0,0,0.000,0,2,2,2,0,0,0,1,6,-2.000
NOH
Trevor Ariza,F,41:53,8,17,0.471,0,3,0.000,3,4,0.750,0,6,6,3,0,0,2,3,19,1.000
Carl Landry,F,39:00,6,11,0.545,0,0,0.000,4,4,1.000,4,3,7,3,1,0,1,6,16,1.000
Emeka Okafor,C,32:23,3,7,0.429,0,0,0.000,0,0,0.000,5,1,6,0,1,2,2,5,6,1.000
Marco Belinelli,G,32:10,3,11,0.273,1,4,0.250,0,0,0.000,0,1,1,1,1,0,0,3,7,-2.000
Chris Paul,G,43:33,7,14,0.500,2,4,0.500,11,11,1.000,2,11,13,15,2,0,5,2,27,9.000
Willie Green,,13:26,1,3,0.333,1,1,1.000,1,2,0.500,0,0,0,1,0,0,0,1,4,-3.000
Aaron Gray,,15:31,3,3,1.000,0,0,0.000,1,2,0.500,1,2,3,0,0,0,0,3,7,-2.000
Jarrett Jack,,12:58,1,6,0.167,0,2,0.000,3,4,0.750,0,3,3,2,1,0,0,0,5,10.000
Jason Smith,,3:42,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,0,6.000
DJ Mbenga,,5:23,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,0,0,2,4.000
