05-22,DAL-OKC,93-87,Playoff,
27-12,25-24,18-20,23-31,
DAL
Shawn Marion,F,37:41,9,13,0.692,0,0,0.000,0,0,0.000,0,4,4,1,2,2,0,5,18,1.000
Dirk Nowitzki,F,36:44,7,21,0.333,1,6,0.167,3,3,1.000,0,4,4,1,0,0,7,1,18,-1.000
Tyson Chandler,C,35:42,3,3,1.000,0,0,0.000,2,4,0.500,6,9,15,0,2,1,0,4,8,11.000
DeShawn Stevenson,G,21:48,3,6,0.500,2,3,0.667,0,0,0.000,0,0,0,0,1,0,0,2,8,5.000
Jason Kidd,G,37:07,4,10,0.400,2,5,0.400,3,4,0.750,1,5,6,8,4,0,2,3,13,6.000
Peja Stojakovic,,16:18,3,7,0.429,1,3,0.333,0,0,0.000,0,3,3,1,0,0,1,1,7,14.000
Jason Terry,,30:46,3,12,0.250,1,4,0.250,6,6,1.000,0,1,1,6,2,0,0,2,13,-3.000
Brendan Haywood,,10:09,2,5,0.400,0,0,0.000,0,1,0.000,1,1,2,0,0,1,1,1,4,-3.000
Jose Juan Barea,,13:47,2,5,0.400,0,0,0.000,0,0,0.000,1,1,2,4,0,0,1,5,4,0.000
OKC
Kevin Durant,F,45:57,7,22,0.318,0,8,0.000,10,11,0.909,3,9,12,5,2,2,1,3,24,1.000
Serge Ibaka,F,23:51,4,11,0.364,0,0,0.000,1,2,0.500,3,4,7,0,0,3,0,0,9,-19.000
Kendrick Perkins,C,30:04,0,2,0.000,0,0,0.000,4,4,1.000,1,4,5,0,0,2,2,1,4,-10.000
Thabo Sefolosha,G,18:33,2,3,0.667,0,1,0.000,0,0,0.000,1,3,4,0,1,0,1,0,4,-4.000
Russell Westbrook,G,42:06,8,20,0.400,1,2,0.500,13,14,0.929,0,2,2,4,2,0,7,5,30,5.000
James Harden,,35:45,2,9,0.222,0,4,0.000,3,4,0.750,2,7,9,1,1,0,2,2,7,4.000
Nick Collison,,23:48,4,4,1.000,0,0,0.000,1,1,1.000,2,4,6,1,2,2,0,3,9,3.000
Eric Maynor,,5:55,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-11.000
Daequan Cook,,14:03,0,2,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,3,0,1.000
