10-11,NOH-ORL,81-135,Preseason,
17-34,21-32,24-40,19-29,
NOH
Aaron Gray,,12,1,3,0.333,0,0,0.000,1,2,0.500,2,1,3,0,0,1,0,5,3,0
Chris Paul,,27,3,7,0.429,1,2,0.500,0,0,0.000,0,0,0,10,0,0,2,1,7,0
DJ Strawberry,,17,3,8,0.375,0,0,0.000,5,5,1.000,3,0,3,0,2,1,2,1,11,0
Emeka Okafor,,26,5,8,0.625,0,0,0.000,3,4,0.750,4,4,8,0,1,0,1,4,13,0
Jason Smith,,12,1,3,0.333,0,0,0.000,2,2,1.000,1,1,2,0,0,0,1,2,4,0
Joe Alexander,,17,1,7,0.143,0,0,0.000,0,0,0.000,0,3,3,0,0,0,1,2,2,0
Marco Belinelli,,18,1,4,0.250,1,2,0.500,2,2,1.000,0,1,1,3,0,0,1,1,5,0
Marcus Thornton,,25,2,13,0.154,0,2,0.000,1,1,1.000,0,1,1,0,0,0,1,3,5,0
Peja Stojakovic,,19,7,10,0.700,4,6,0.667,2,2,1.000,0,1,1,0,0,0,0,1,20,0
Quincy Pondexter,,20,0,4,0.000,0,1,0.000,2,4,0.500,0,1,1,0,0,0,2,3,2,0
Trevor Ariza,,28,2,12,0.167,1,5,0.200,0,0,0.000,1,2,3,1,1,0,2,1,5,0
Willie Green,,9,1,4,0.250,0,0,0.000,0,0,0.000,0,1,1,1,0,0,2,2,2,0
ORL
Chris Duhon,,22,1,2,0.500,1,1,1.000,1,4,0.250,0,1,1,7,1,0,2,3,4,0
Dwight Howard,,23,5,6,0.833,0,0,0.000,2,2,1.000,2,9,11,1,1,4,5,5,12,0
JJ Redick,,30,5,11,0.455,2,6,0.333,11,13,0.846,0,3,3,4,0,0,0,1,23,0
Jameer Nelson,,24,4,6,0.667,2,3,0.667,0,0,0.000,0,4,4,6,0,0,1,2,10,0
Malik Allen,,13,0,1,0.000,0,0,0.000,3,4,0.750,0,0,0,0,1,1,0,2,3,0
Marcin Gortat,,27,7,7,1.000,0,0,0.000,1,1,1.000,0,6,6,1,1,0,2,5,15,0
Quentin Richardson,,21,2,4,0.500,1,2,0.500,2,3,0.667,0,2,2,2,0,0,1,0,7,0
Rashard Lewis,,25,9,11,0.818,5,5,1.000,0,0,0.000,0,6,6,1,1,1,1,0,23,0
Ryan Anderson,,22,6,8,0.750,4,6,0.667,7,7,1.000,0,5,5,1,1,1,0,4,23,0
Stanley Robinson,,8,2,3,0.667,0,0,0.000,1,2,0.500,2,2,4,1,0,0,0,2,5,0
Vince Carter,,26,5,12,0.417,0,4,0.000,0,1,0.000,1,1,2,3,1,0,3,3,10,0
