10-15,LAB-MEM,105-110,Preseason,
25-19,25-32,30-27,25-32,
LAB
MEM
Acie Law,,26,2,4,0.500,0,1,0.000,1,1,1.000,1,1,2,5,0,1,3,2,5,0
Darrell Arthur,,26,5,11,0.455,0,0,0.000,2,4,0.500,3,6,9,1,0,1,0,2,12,0
Hasheem Thabeet,,14,0,1,0.000,0,0,0.000,2,2,1.000,0,1,1,1,0,0,1,1,2,0
Marc Gasol,,34,5,7,0.714,0,0,0.000,2,2,1.000,1,7,8,3,0,3,3,1,12,0
Mike Conley,,29,11,17,0.647,1,2,0.500,4,5,0.800,1,1,2,1,4,0,4,3,27,0
O.J. Mayo,,22,3,5,0.600,1,2,0.500,2,2,1.000,1,3,4,3,0,0,2,0,9,0
Rudy Gay,,22,3,7,0.429,0,1,0.000,4,5,0.800,2,6,8,2,1,1,3,0,10,0
Sam Young,,26,8,16,0.500,1,2,0.500,4,5,0.800,2,1,3,2,0,0,1,0,21,0
Xavier Henry,,19,2,6,0.333,0,0,0.000,0,0,0.000,1,3,4,0,2,0,4,2,4,0
Zach Randolph,,22,3,5,0.600,0,0,0.000,2,3,0.667,1,4,5,1,0,0,3,1,8,0
