10-23,SAC-UTA,71-82,Preseason,
23-25,17-19,18-20,13-18,
SAC
Antoine Wright,,19,1,5,0.200,1,3,0.333,0,0,0.000,1,2,3,1,1,0,0,1,3,0
Beno Udrih,,31,6,13,0.462,2,5,0.400,3,4,0.750,1,3,4,2,2,0,2,1,17,0
Carl Landry,,30,4,8,0.500,0,0,0.000,5,7,0.714,1,5,6,0,0,0,1,4,13,0
Darnell Jackson,,21,3,6,0.500,0,0,0.000,1,2,0.500,2,0,2,0,0,0,0,2,7,0
DeMarcus Cousins,,29,1,7,0.143,0,0,0.000,2,2,1.000,0,4,4,2,2,0,6,0,4,0
Donte Greene,,23,1,8,0.125,1,5,0.200,0,0,0.000,1,5,6,0,1,1,1,1,3,0
Hassan Whiteside,,14,3,6,0.500,0,0,0.000,0,0,0.000,1,3,4,0,0,2,2,1,6,0
Jason Thompson,,24,1,3,0.333,0,0,0.000,1,4,0.250,1,5,6,0,1,1,2,1,3,0
Pooh Jeter,,18,3,7,0.429,0,0,0.000,2,2,1.000,0,2,2,1,0,0,0,1,8,0
Tyreke Evans,,32,3,9,0.333,1,3,0.333,0,0,0.000,1,4,5,8,0,0,6,1,7,0
UTA
Al Jefferson,,26,5,12,0.417,0,0,0.000,2,2,1.000,0,6,6,1,1,0,1,2,12,0
Andrei Kirilenko,,27,4,9,0.444,1,1,1.000,0,0,0.000,0,7,7,2,3,2,3,1,9,0
CJ Miles,,9,1,6,0.167,0,1,0.000,0,1,0.000,0,0,0,0,1,0,0,1,2,0
Earl Watson,,30,3,6,0.500,0,1,0.000,1,1,1.000,1,2,3,4,0,0,2,3,7,0
Francisco Elson,,13,2,4,0.500,0,0,0.000,0,0,0.000,1,2,3,2,1,1,0,3,4,0
Gordon Hayward,,22,1,7,0.143,0,2,0.000,3,3,1.000,1,2,3,0,2,1,1,0,5,0
Jeremy Evans,,12,2,4,0.500,0,0,0.000,0,0,0.000,3,1,4,0,0,0,2,3,4,0
Kyrylo Fesenko,,17,6,6,1.000,0,0,0.000,0,0,0.000,1,4,5,0,0,0,1,2,12,0
Paul Millsap,,34,3,7,0.429,0,0,0.000,1,2,0.500,0,3,3,1,2,2,2,2,7,0
Raja Bell,,26,3,9,0.333,3,3,1.000,3,4,0.750,0,0,0,2,1,0,1,0,12,0
Ronnie Price,,24,3,5,0.600,0,0,0.000,2,2,1.000,0,1,1,8,1,0,2,1,8,0
