11-06,TOR-LAL,103-108,Team,
20-33,38-22,20-27,25-26,
TOR
Linas Kleiza,F,22:35,4,8,0.500,0,1,0.000,0,0,0.000,0,1,1,0,3,0,4,3,8,-6.000
Reggie Evans,F,21:29,1,4,0.250,0,0,0.000,1,2,0.500,5,9,14,3,1,0,1,3,3,-11.000
Andrea Bargnani,C,37:45,5,13,0.385,1,2,0.500,3,4,0.750,1,2,3,1,1,1,3,2,14,-5.000
DeMar DeRozan,G,34:17,7,18,0.389,0,2,0.000,1,2,0.500,1,0,1,1,0,0,3,5,15,-10.000
Jarrett Jack,G,23:18,4,7,0.571,1,2,0.500,2,2,1.000,1,3,4,5,0,0,2,2,11,-11.000
Sonny Weems,,5:48,2,5,0.400,0,0,0.000,1,1,1.000,0,0,0,0,0,0,0,0,5,-1.000
Amir Johnson,,24:57,4,8,0.500,0,0,0.000,4,4,1.000,9,6,15,0,1,1,0,2,12,3.000
Jose Calderon,,26:16,7,9,0.778,0,1,0.000,0,0,0.000,0,2,2,8,1,0,4,1,14,9.000
Leandro Barbosa,,24:48,6,13,0.462,3,5,0.600,2,2,1.000,0,2,2,2,2,0,3,2,17,7.000
David Andersen,,10:15,1,2,0.500,0,0,0.000,2,2,1.000,1,1,2,1,0,0,0,2,4,0.000
Julian Wright,,8:32,0,0,0.000,0,0,0.000,0,0,0.000,1,4,5,1,0,0,1,0,0,0.000
LAL
Metta World Peace,F,25:09,3,6,0.500,1,2,0.500,0,0,0.000,1,1,2,2,2,0,1,2,7,0.000
Lamar Odom,F,39:41,2,10,0.200,0,2,0.000,3,7,0.429,3,6,9,3,0,0,2,2,7,0.000
Pau Gasol,C,43:45,12,22,0.545,0,0,0.000,6,6,1.000,2,5,7,3,0,2,1,4,30,13.000
Kobe Bryant,G,34:22,6,12,0.500,0,3,0.000,11,12,0.917,0,4,4,6,3,1,3,2,23,1.000
Derek Fisher,G,29:57,4,7,0.571,1,1,1.000,2,2,1.000,0,2,2,2,4,0,2,2,11,-2.000
Steve Blake,,18:03,4,6,0.667,4,6,0.667,2,2,1.000,0,1,1,2,0,0,1,1,14,7.000
Matt Barnes,,16:24,1,4,0.250,0,3,0.000,0,0,0.000,1,2,3,2,1,0,1,2,2,3.000
Theo Ratliff,,4:14,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,1,0,1,0,2,2,-4.000
Shannon Brown,,20:05,4,7,0.571,1,3,0.333,3,3,1.000,0,2,2,0,1,1,1,3,12,6.000
Derrick Caracter,,2:05,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,0,0,-1.000
Luke Walton,,6:15,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,1,0,0,0,0,2.000
