11-12,GSW-CHI,90-120,Team,
20-34,18-32,25-28,27-26,
GSW
Dorell Wright,F,35:10,5,13,0.385,2,7,0.286,0,0,0.000,1,7,8,2,0,1,3,1,12,-20.000
Brandan Wright,F,15:36,2,6,0.333,0,0,0.000,0,0,0.000,2,1,3,0,0,1,1,1,4,-15.000
Andris Biedrins,C,22:20,1,3,0.333,0,0,0.000,0,0,0.000,5,0,5,2,1,0,3,3,2,-14.000
Monta Ellis,G,36:40,10,20,0.500,0,3,0.000,4,4,1.000,0,5,5,5,1,0,4,0,24,-37.000
Stephen Curry,G,30:58,7,18,0.389,2,5,0.400,1,2,0.500,0,3,3,6,5,0,5,2,17,-13.000
Vladimir Radmanovic,,23:25,4,9,0.444,1,3,0.333,0,0,0.000,4,2,6,0,0,1,0,5,9,-9.000
Dan Gadzuric,,20:42,4,8,0.500,0,0,0.000,0,0,0.000,5,1,6,0,0,1,0,3,8,-11.000
Jeremy Lin,,9:01,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,1,1,0,1,0,0,-7.000
Rodney Carney,,17:38,2,5,0.400,1,1,1.000,0,1,0.000,0,1,1,0,1,0,0,0,5,-10.000
Reggie Williams,,14:39,3,7,0.429,1,3,0.333,0,0,0.000,0,1,1,1,0,0,0,0,7,-10.000
Jeff Adrien,,6:26,1,2,0.500,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,1,2,-6.000
Charlie Bell,,7:25,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,3,0,0,1,0,0,2.000
CHI
Luol Deng,F,39:35,9,19,0.474,2,5,0.400,6,7,0.857,3,8,11,6,1,2,0,0,26,27.000
Taj Gibson,F,25:46,5,10,0.500,0,0,0.000,4,4,1.000,3,4,7,0,2,3,1,3,14,31.000
Joakim Noah,C,32:56,6,10,0.600,0,0,0.000,5,6,0.833,3,4,7,5,1,2,1,1,17,19.000
Keith Bogans,G,35:34,6,10,0.600,2,6,0.333,0,0,0.000,0,5,5,2,6,1,1,1,14,25.000
Derrick Rose,G,36:42,10,17,0.588,0,3,0.000,2,2,1.000,1,2,3,13,1,1,3,0,22,31.000
Ronnie Brewer,,21:06,1,4,0.250,0,0,0.000,0,0,0.000,1,1,2,1,1,0,1,0,2,1.000
Omer Asik,,11:03,3,4,0.750,0,0,0.000,2,2,1.000,0,5,5,0,0,0,2,0,8,4.000
CJ Watson,,17:05,2,3,0.667,1,2,0.500,2,2,1.000,0,4,4,2,1,0,0,0,7,4.000
Kyle Korver,,13:56,4,5,0.800,2,3,0.667,0,0,0.000,0,1,1,0,0,1,2,1,10,5.000
James Johnson,,3:31,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,4.000
Brian Scalabrine,,2:46,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,1,0,0,-1.000
