12-02,POR-BOS,95-99,Team,
26-20,23-28,23-31,23-20,
POR
Wesley Matthews,F,37:55,8,13,0.615,5,7,0.714,2,2,1.000,0,0,0,0,2,0,3,4,23,-4.000
LaMarcus Aldridge,F,45:16,6,14,0.429,0,1,0.000,6,8,0.750,2,4,6,2,1,0,1,3,18,-6.000
Marcus Camby,C,20:60,0,3,0.000,0,0,0.000,0,0,0.000,2,7,9,3,0,4,0,1,0,11.000
Brandon Roy,G,37:06,5,10,0.500,0,2,0.000,8,9,0.889,0,3,3,3,1,0,0,3,18,4.000
Andre Miller,G,37:27,9,17,0.529,0,2,0.000,2,2,1.000,1,2,3,6,1,0,1,2,20,-1.000
Dante Cunningham,,13:04,2,3,0.667,0,0,0.000,0,0,0.000,1,0,1,1,0,0,2,2,4,-8.000
Nicolas Batum,,15:27,2,4,0.500,0,1,0.000,0,0,0.000,0,2,2,2,0,1,1,2,4,-9.000
Rudy Fernandez,,16:39,2,6,0.333,2,4,0.500,2,2,1.000,1,1,2,0,2,0,1,2,8,7.000
Patty Mills,,8:10,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,2,0,0,0,2,0,-2.000
Sean Marks,,7:58,0,3,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,2,5,0,-12.000
BOS
Paul Pierce,F,37:06,9,11,0.818,4,5,0.800,6,6,1.000,0,7,7,2,1,1,4,3,28,5.000
Kevin Garnett,F,35:06,6,11,0.545,0,0,0.000,5,6,0.833,0,8,8,3,0,1,3,3,17,3.000
Ray Allen,G,37:30,3,12,0.250,1,6,0.167,2,2,1.000,0,2,2,2,1,0,1,4,9,-10.000
Rajon Rondo,G,44:30,4,7,0.571,1,2,0.500,1,2,0.500,0,1,1,10,0,0,3,1,10,7.000
Glen Davis,,28:32,7,9,0.778,0,0,0.000,2,2,1.000,1,6,7,1,0,0,1,1,16,5.000
Marquis Daniels,,22:07,1,4,0.250,0,0,0.000,1,2,0.500,0,1,1,2,2,0,0,2,3,11.000
Semih Erden,,5:09,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,1.000
Nate Robinson,,3:33,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,2,0,0,1,2,0,-3.000
Von Wafer,,0:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
