12-04,CHI-BOS,92-104,Team,
19-31,29-22,19-29,25-22,
CHI
Carlos Boozer,F,21:12,4,10,0.400,0,0,0.000,4,6,0.667,0,2,2,0,2,0,2,3,12,-21.000
Luol Deng,F,38:04,5,13,0.385,3,4,0.750,2,4,0.500,0,6,6,4,1,0,0,2,15,-12.000
Joakim Noah,C,38:47,5,8,0.625,0,0,0.000,4,7,0.571,3,7,10,1,0,1,2,3,14,-16.000
Keith Bogans,G,12:33,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-13.000
Derrick Rose,G,36:19,7,17,0.412,1,5,0.200,5,5,1.000,0,3,3,8,0,0,4,2,20,-29.000
Ronnie Brewer,,29:18,2,4,0.500,0,0,0.000,2,4,0.500,1,1,2,2,1,0,0,0,6,-3.000
Taj Gibson,,26:20,3,8,0.375,0,0,0.000,4,4,1.000,4,4,8,1,0,0,3,2,10,11.000
CJ Watson,,11:49,2,5,0.400,1,2,0.500,3,3,1.000,0,0,0,1,0,0,0,1,8,15.000
Kyle Korver,,14:18,2,6,0.333,0,1,0.000,0,0,0.000,0,0,0,1,0,0,0,0,4,1.000
Omer Asik,,8:26,1,2,0.500,0,0,0.000,1,1,1.000,1,1,2,0,0,0,0,3,3,1.000
James Johnson,,1:47,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,3.000
Brian Scalabrine,,1:07,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,0,1,0,3.000
BOS
Paul Pierce,F,32:25,8,16,0.500,0,3,0.000,2,2,1.000,0,3,3,0,0,0,0,3,18,17.000
Kevin Garnett,F,33:11,7,11,0.636,0,0,0.000,6,6,1.000,0,17,17,6,2,1,0,1,20,28.000
Ray Allen,G,35:56,5,12,0.417,0,2,0.000,4,4,1.000,0,1,1,1,1,0,1,1,14,27.000
Rajon Rondo,G,34:44,6,11,0.545,0,0,0.000,0,0,0.000,2,4,6,19,3,0,3,2,12,29.000
Glen Davis,,22:11,3,6,0.500,0,0,0.000,0,0,0.000,2,2,4,0,1,2,2,5,6,1.000
Marquis Daniels,,25:52,3,7,0.429,0,0,0.000,2,4,0.500,0,2,2,1,0,1,0,2,8,-17.000
Semih Erden,,19:39,3,3,1.000,0,0,0.000,1,2,0.500,2,2,4,0,0,0,1,3,7,-13.000
Nate Robinson,,13:24,2,6,0.333,1,3,0.333,0,0,0.000,0,1,1,0,0,0,1,0,5,-15.000
Von Wafer,,1:47,1,3,0.333,0,1,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,-3.000
Luke Harangody,,0:53,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
