12-08,CLE-PHI,97-117,Team,
26-35,28-31,20-23,23-28,
CLE
Joey Graham,F,20:12,4,5,0.800,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,4,8,-8.000
JJ Hickson,F,26:59,6,12,0.500,0,0,0.000,6,8,0.750,1,3,4,0,1,1,2,2,18,-3.000
Anderson Varejao,C,29:25,2,6,0.333,0,0,0.000,0,0,0.000,3,5,8,2,2,2,0,2,4,-12.000
Anthony Parker,G,30:40,2,5,0.400,0,1,0.000,1,2,0.500,0,3,3,4,1,0,3,0,5,-1.000
Mo Williams,G,31:53,7,16,0.438,1,6,0.167,0,0,0.000,0,2,2,7,1,0,3,3,15,-9.000
Antawn Jamison,,21:01,4,10,0.400,2,3,0.667,0,0,0.000,1,5,6,2,0,0,0,1,10,-17.000
Daniel Gibson,,27:17,6,10,0.600,4,6,0.667,0,0,0.000,0,0,0,3,0,0,0,2,16,-16.000
Ramon Sessions,,16:07,4,5,0.800,0,0,0.000,3,4,0.750,0,1,1,1,0,0,2,2,11,-11.000
Jawad Williams,,14:49,1,5,0.200,0,1,0.000,0,0,0.000,0,2,2,1,0,0,1,3,2,-14.000
Ryan Hollins,,8:39,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,2,-5.000
Leon Powe,,9:56,2,2,1.000,0,0,0.000,2,3,0.667,0,1,1,0,0,0,0,3,6,-3.000
Jamario Moon,,3:02,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-1.000
PHI
Andre Iguodala,F,36:13,3,12,0.250,0,4,0.000,7,8,0.875,1,5,6,7,2,1,1,1,13,14.000
Elton Brand,F,30:27,6,10,0.600,0,0,0.000,0,2,0.000,3,2,5,0,1,1,0,2,12,13.000
Spencer Hawes,C,31:45,4,6,0.667,1,1,1.000,1,2,0.500,1,11,12,1,1,3,0,2,10,10.000
Jodie Meeks,G,29:55,6,13,0.462,4,9,0.444,0,0,0.000,0,1,1,1,0,0,3,0,16,15.000
Jrue Holiday,G,40:24,5,14,0.357,0,4,0.000,6,6,1.000,2,3,5,7,1,0,2,3,16,16.000
Thaddeus Young,,28:18,11,12,0.917,1,1,1.000,3,3,1.000,2,9,11,0,2,0,0,1,26,19.000
Lou Williams,,20:39,5,10,0.500,1,3,0.333,8,9,0.889,0,1,1,4,1,0,0,2,19,6.000
Evan Turner,,14:37,1,3,0.333,0,0,0.000,0,0,0.000,0,1,1,1,0,0,1,1,2,6.000
Andres Nocioni,,7:42,1,1,1.000,1,1,1.000,0,0,0.000,0,2,2,1,1,0,0,2,3,1.000
