12-17,WAS-NJN,89-97,Team,
17-32,21-23,29-19,22-23,
WAS
Al Thornton,F,39:28,6,14,0.429,1,1,1.000,5,6,0.833,2,2,4,0,1,1,4,4,18,-11.000
Trevor Booker,F,30:33,2,8,0.250,0,0,0.000,7,8,0.875,2,7,9,1,1,0,2,3,11,3.000
JaVale McGee,C,21:26,1,5,0.200,0,0,0.000,0,0,0.000,0,5,5,0,0,2,2,5,2,-7.000
Gilbert Arenas,G,42:37,8,19,0.421,3,10,0.300,0,0,0.000,0,3,3,9,2,0,4,6,19,-3.000
Kirk Hinrich,G,33:39,5,10,0.500,0,1,0.000,0,0,0.000,0,3,3,6,4,0,2,4,10,-7.000
Hilton Armstrong,,19:23,2,5,0.400,0,0,0.000,0,2,0.000,2,5,7,1,0,1,2,4,4,6.000
Nick Young,,33:01,6,14,0.429,1,3,0.333,9,10,0.900,1,2,3,0,1,0,2,4,22,-3.000
Kevin Seraphin,,4:22,1,1,1.000,0,0,0.000,0,0,0.000,0,2,2,0,1,0,1,2,2,-4.000
Alonzo Gee,,4:49,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-3.000
Hamady Ndiaye,,2:49,0,0,0.000,0,0,0.000,1,2,0.500,0,0,0,0,0,0,1,2,1,-3.000
Cartier Martin,,7:52,0,2,0.000,0,2,0.000,0,0,0.000,1,0,1,0,0,0,0,2,0,-8.000
NJN
Quinton Ross,F,30:35,1,4,0.250,0,0,0.000,3,6,0.500,3,6,9,1,0,1,1,3,5,15.000
Kris Humphries,F,35:56,5,7,0.714,0,0,0.000,2,4,0.500,6,11,17,1,2,2,5,1,12,10.000
Brook Lopez,C,26:14,6,12,0.500,0,0,0.000,6,8,0.750,0,5,5,0,0,1,3,4,18,19.000
Jordan Farmar,G,29:43,3,5,0.600,0,1,0.000,3,4,0.750,0,2,2,3,0,0,4,0,9,-4.000
Devin Harris,G,40:27,7,25,0.280,1,5,0.200,14,17,0.824,0,3,3,9,0,0,2,3,29,8.000
Travis Outlaw,,26:07,3,8,0.375,0,1,0.000,7,8,0.875,0,6,6,0,1,1,3,4,13,10.000
Ben Uzoh,,10:32,1,1,1.000,0,0,0.000,0,0,0.000,1,0,1,0,1,1,0,1,2,1.000
Derrick Favors,,17:41,2,3,0.667,0,0,0.000,0,0,0.000,4,1,5,0,0,0,1,5,4,-6.000
Johan Petro,,8:13,1,4,0.250,0,0,0.000,0,0,0.000,2,1,3,0,1,1,1,2,2,1.000
Stephen Graham,,7:40,0,2,0.000,0,0,0.000,0,0,0.000,1,0,1,1,0,0,0,2,0,-9.000
Troy Murphy,,6:51,1,3,0.333,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,0,3,-5.000
