12-19,MEM-SAS,106-112,Team,
31-28,18-25,22-27,29-20,6-12,
MEM
Tony Allen,F,25:11,4,8,0.500,1,1,1.000,4,7,0.571,2,1,3,1,1,1,2,3,13,-8.000
Zach Randolph,F,40:36,11,22,0.500,0,0,0.000,1,1,1.000,10,10,20,1,0,0,2,1,23,11.000
Marc Gasol,C,35:27,3,9,0.333,0,1,0.000,4,6,0.667,0,11,11,6,1,2,1,2,10,4.000
O.J. Mayo,G,41:56,10,17,0.588,5,7,0.714,0,0,0.000,1,4,5,5,2,0,1,1,25,9.000
Mike Conley,G,34:12,6,11,0.545,1,2,0.500,0,0,0.000,1,1,2,8,1,0,4,3,13,4.000
Sam Young,,17:17,4,9,0.444,0,0,0.000,3,3,1.000,0,2,2,0,0,0,0,1,11,4.000
Darrell Arthur,,17:32,1,6,0.167,0,0,0.000,0,0,0.000,2,1,3,1,0,0,0,2,2,-10.000
Xavier Henry,,8:25,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,1,0,0.000
Greivis Vasquez,,17:14,1,4,0.250,1,1,1.000,0,0,0.000,0,0,0,1,1,0,1,0,3,-7.000
Hasheem Thabeet,,2:10,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-7.000
SAS
Richard Jefferson,F,28:08,4,7,0.571,2,4,0.500,0,0,0.000,0,6,6,1,1,0,3,5,10,0.000
Tim Duncan,F,32:29,5,10,0.500,0,0,0.000,1,1,1.000,1,6,7,4,1,2,2,1,11,-3.000
DeJuan Blair,C,13:01,1,6,0.167,0,0,0.000,0,0,0.000,2,1,3,1,1,0,2,3,2,8.000
Manu Ginobili,G,32:31,4,9,0.444,1,3,0.333,4,5,0.800,1,1,2,8,0,1,1,1,13,18.000
Tony Parker,G,36:13,13,19,0.684,1,1,1.000,6,10,0.600,0,2,2,9,1,0,2,1,33,-10.000
Gary Neal,,27:41,4,10,0.400,2,6,0.333,1,1,1.000,1,4,5,1,1,0,0,1,11,-8.000
Ime Udoka,,7:55,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,2,0,0,2,1,0,-12.000
Matt Bonner,,28:35,2,6,0.333,2,5,0.400,0,0,0.000,1,3,4,1,0,1,0,1,6,-8.000
Chris Quinn,,11:47,4,7,0.571,2,4,0.500,0,0,0.000,0,1,1,0,0,1,0,0,10,10.000
Tiago Splitter,,8:07,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,2,0,0,0,1,0,11.000
Antonio McDyess,,13:33,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,0,2,0,0,2,4,-6.000
