12-21,NOH-IND,93-94,Team,
16-24,27-28,26-16,24-26,
NOH
Trevor Ariza,F,35:23,1,13,0.077,0,5,0.000,2,2,1.000,2,7,9,1,1,1,1,3,4,-5.000
David West,F,35:06,6,13,0.462,0,0,0.000,6,7,0.857,2,2,4,1,1,1,2,2,18,6.000
Emeka Okafor,C,34:13,7,8,0.875,0,0,0.000,5,8,0.625,4,11,15,1,2,3,1,1,19,7.000
Marco Belinelli,G,33:30,7,14,0.500,0,3,0.000,0,4,0.000,1,2,3,2,1,0,0,3,14,7.000
Chris Paul,G,35:46,4,11,0.364,1,2,0.500,6,6,1.000,1,3,4,4,1,0,6,3,15,1.000
Marcus Thornton,,20:38,2,9,0.222,1,1,1.000,1,2,0.500,6,5,11,3,0,0,2,0,6,-6.000
Jason Smith,,13:00,3,5,0.600,0,0,0.000,2,2,1.000,2,1,3,0,0,0,0,2,8,-10.000
Jarrett Jack,,25:50,3,8,0.375,2,3,0.667,1,1,1.000,0,2,2,6,3,0,0,0,9,-5.000
David Andersen,,6:34,0,2,0.000,0,1,0.000,0,0,0.000,0,2,2,0,0,0,1,0,0,0.000
IND
Danny Granger,F,36:24,8,22,0.364,4,8,0.500,7,8,0.875,1,5,6,2,0,1,1,5,27,6.000
Jeff Foster,F,22:06,3,4,0.750,0,0,0.000,1,1,1.000,3,8,11,2,0,4,1,3,7,5.000
Roy Hibbert,C,24:38,1,10,0.100,0,0,0.000,0,0,0.000,1,2,3,0,1,2,3,2,2,3.000
Mike Dunleavy,G,27:30,3,11,0.273,0,4,0.000,2,2,1.000,1,2,3,4,2,1,1,3,8,1.000
Darren Collison,G,34:32,8,11,0.727,0,0,0.000,2,2,1.000,1,4,5,5,2,0,4,2,18,1.000
Tyler Hansbrough,,9:07,0,2,0.000,0,0,0.000,1,2,0.500,0,1,1,0,0,0,0,3,1,-4.000
T.J. Ford,,20:12,3,4,0.750,0,0,0.000,0,0,0.000,0,1,1,5,1,1,2,2,6,-3.000
Solomon Jones,,16:28,1,2,0.500,0,0,0.000,2,4,0.500,1,1,2,1,0,1,0,0,4,0.000
Brandon Rush,,30:20,2,7,0.286,2,4,0.500,0,0,0.000,0,3,3,2,1,1,1,1,6,-3.000
James Posey,,18:43,5,7,0.714,5,7,0.714,0,0,0.000,0,4,4,1,1,0,1,2,15,-1.000
