12-22,OKC-CHA,99-81,Team,
21-23,24-17,23-29,31-12,
OKC
Kevin Durant,F,38:09,8,13,0.615,2,4,0.500,14,16,0.875,0,7,7,3,1,1,1,3,32,14.000
Jeff Green,F,41:47,4,13,0.308,1,5,0.200,3,4,0.750,0,3,3,5,0,0,0,1,12,20.000
Serge Ibaka,C,25:15,3,9,0.333,0,0,0.000,4,4,1.000,3,6,9,0,0,2,0,4,10,3.000
Thabo Sefolosha,G,16:39,0,4,0.000,0,1,0.000,1,2,0.500,1,2,3,0,1,0,1,2,1,-5.000
Russell Westbrook,G,32:11,5,13,0.385,0,1,0.000,5,5,1.000,0,3,3,4,3,0,7,2,15,7.000
Nick Collison,,28:54,3,4,0.750,0,0,0.000,1,2,0.500,4,6,10,1,3,0,0,3,7,27.000
James Harden,,23:01,5,8,0.625,3,4,0.750,0,1,0.000,0,4,4,2,1,0,1,4,13,15.000
Byron Mullens,,8:19,0,2,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,2,2,0,-3.000
Eric Maynor,,15:49,1,3,0.333,1,1,1.000,2,2,1.000,0,0,0,2,0,0,0,1,5,11.000
DJ White,,7:29,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,0,4,5.000
Cole Aldrich,,2:27,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,0,-4.000
CHA
Matt Carroll,F,9:32,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,4.000
Boris Diaw,F,35:14,5,11,0.455,1,3,0.333,2,2,1.000,1,6,7,8,0,1,3,4,13,-11.000
Kwame Brown,C,31:31,3,4,0.750,0,0,0.000,3,6,0.500,1,4,5,1,0,1,0,2,9,-13.000
Stephen Jackson,G,35:24,7,17,0.412,0,3,0.000,6,6,1.000,0,3,3,4,1,0,5,3,20,-14.000
D.J. Augustin,G,18:41,3,8,0.375,2,4,0.500,0,0,0.000,0,1,1,1,0,0,0,3,8,-6.000
Shaun Livingston,,17:56,2,3,0.667,0,0,0.000,2,2,1.000,0,0,0,0,0,1,0,1,6,-9.000
Nazr Mohammed,,12:32,1,2,0.500,0,0,0.000,1,3,0.333,0,4,4,1,0,4,2,1,3,6.000
Gerald Henderson,,10:28,0,3,0.000,0,1,0.000,0,0,0.000,0,2,2,0,0,1,0,2,0,-4.000
Dominic McGuire,,1:45,0,0,0.000,0,0,0.000,1,2,0.500,1,0,1,0,0,0,0,2,1,0.000
Derrick Brown,,33:28,5,10,0.500,0,0,0.000,1,3,0.333,4,2,6,2,2,0,1,5,11,-20.000
Tyrus Thomas,,19:46,2,9,0.222,0,0,0.000,1,2,0.500,1,1,2,1,1,2,2,3,5,-18.000
Sherron Collins,,13:43,2,6,0.333,1,2,0.500,0,0,0.000,0,0,0,0,2,0,1,1,5,-5.000
