01-11,TOR-WAS,78-93,Team,
20-17,14-29,18-25,26-22,
TOR
Rasual Butler,F,23:49,1,6,0.167,0,3,0.000,0,1,0.000,0,6,6,1,1,0,2,3,2,-4.000
Andrea Bargnani,F,29:01,9,16,0.563,0,3,0.000,4,4,1.000,1,1,2,2,0,0,2,2,22,-15.000
Amir Johnson,C,27:55,1,3,0.333,0,0,0.000,2,2,1.000,5,5,10,1,1,0,2,4,4,-7.000
DeMar DeRozan,G,29:39,4,16,0.250,0,1,0.000,3,4,0.750,0,4,4,0,3,0,3,1,11,-15.000
Jose Calderon,G,29:03,4,9,0.444,0,3,0.000,0,0,0.000,1,4,5,8,0,0,4,1,8,-14.000
James Johnson,,28:01,1,5,0.200,0,2,0.000,2,2,1.000,2,2,4,1,1,0,1,1,4,-14.000
Anthony Carter,,18:57,3,6,0.500,2,3,0.667,0,0,0.000,1,1,2,6,0,2,2,0,8,-1.000
Leandro Barbosa,,20:43,5,11,0.455,2,5,0.400,0,0,0.000,1,0,1,1,0,0,4,1,12,-6.000
Ed Davis,,20:45,1,2,0.500,0,0,0.000,3,4,0.750,2,7,9,1,0,3,1,2,5,-3.000
Gary Forbes,,12:08,1,2,0.500,0,0,0.000,0,0,0.000,1,0,1,0,1,0,1,2,2,4.000
WAS
Chris Singleton,F,23:07,4,9,0.444,1,3,0.333,0,0,0.000,2,7,9,1,1,0,0,3,9,1.000
Trevor Booker,F,31:37,4,4,1.000,0,0,0.000,0,2,0.000,2,5,7,1,3,1,1,5,8,1.000
JaVale McGee,C,20:59,4,6,0.667,0,0,0.000,2,2,1.000,0,6,6,0,0,3,6,2,10,0.000
Nick Young,G,29:21,6,13,0.462,1,5,0.200,2,2,1.000,0,1,1,1,0,0,0,3,15,4.000
John Wall,G,33:45,3,12,0.250,0,2,0.000,2,3,0.667,0,2,2,9,0,3,2,1,8,5.000
Rashard Lewis,,26:59,6,10,0.600,1,1,1.000,2,3,0.667,0,1,1,2,2,0,0,1,15,12.000
Andray Blatche,,24:55,4,11,0.364,1,1,1.000,0,2,0.000,1,7,8,1,0,1,1,2,9,17.000
Shelvin Mack,,14:15,2,4,0.500,0,1,0.000,0,0,0.000,0,1,1,3,1,0,1,0,4,10.000
Jordan Crawford,,18:47,5,11,0.455,0,0,0.000,1,3,0.333,2,0,2,1,0,0,2,0,11,11.000
Jan Vesely,,16:16,2,2,1.000,0,0,0.000,0,0,0.000,2,0,2,1,5,0,0,3,4,14.000
