01-18,DEN-MIL,105-95,Team,
26-21,37-23,22-23,20-28,
DEN
Danilo Gallinari,F,27:04,5,12,0.417,2,6,0.333,2,2,1.000,1,4,5,3,2,0,1,4,14,6.000
Nene,F,26:01,3,6,0.500,0,0,0.000,8,10,0.800,1,8,9,1,1,1,2,1,14,17.000
Timofey Mozgov,C,18:31,2,6,0.333,0,0,0.000,0,0,0.000,2,3,5,0,0,1,2,2,4,2.000
Arron Afflalo,G,36:11,4,11,0.364,3,4,0.750,0,0,0.000,1,1,2,2,0,2,2,2,11,-1.000
Ty Lawson,G,33:03,3,10,0.300,0,3,0.000,5,7,0.714,0,5,5,9,0,0,2,1,11,11.000
Andre Miller,,23:02,1,5,0.200,0,0,0.000,6,6,1.000,0,2,2,11,1,0,5,1,8,9.000
Al Harrington,,19:50,5,9,0.556,4,6,0.667,2,2,1.000,0,5,5,1,1,0,1,0,16,16.000
Chris Andersen,,21:59,1,2,0.500,0,0,0.000,3,6,0.500,2,3,5,0,2,0,0,2,5,-7.000
Corey Brewer,,34:19,8,14,0.571,3,6,0.500,3,4,0.750,2,2,4,0,2,1,2,2,22,-3.000
MIL
Stephen Jackson,F,16:43,0,6,0.000,0,2,0.000,2,2,1.000,0,0,0,1,0,0,1,1,2,-20.000
Jon Leuer,F,18:10,4,6,0.667,0,1,0.000,3,3,1.000,0,1,1,1,0,0,0,2,11,-8.000
Andrew Bogut,C,19:04,1,5,0.200,0,0,0.000,0,0,0.000,1,4,5,2,2,3,4,3,2,-17.000
Carlos Delfino,G,29:20,3,12,0.250,3,9,0.333,1,2,0.500,0,5,5,2,3,1,1,2,10,-7.000
Brandon Jennings,G,37:46,13,22,0.591,3,6,0.500,1,2,0.500,0,3,3,6,3,1,3,4,30,-11.000
Drew Gooden,,11:37,2,6,0.333,0,0,0.000,1,1,1.000,1,1,2,0,0,0,0,1,5,-2.000
Ersan Ilyasova,,22:08,4,12,0.333,1,3,0.333,0,0,0.000,6,5,11,1,1,2,1,1,9,-9.000
Tobias Harris,,27:26,5,10,0.500,0,1,0.000,4,4,1.000,5,3,8,3,1,0,2,4,14,13.000
Beno Udrih,,19:51,1,4,0.250,0,1,0.000,0,0,0.000,0,5,5,3,0,0,4,3,2,4.000
Shaun Livingston,,19:36,4,6,0.667,0,0,0.000,0,0,0.000,0,1,1,1,0,1,1,2,8,-1.000
Larry Sanders,,9:38,1,1,1.000,0,0,0.000,0,0,0.000,1,0,1,0,0,2,0,3,2,1.000
Jon Brockman,,8:41,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,1,1,0,7.000
