01-22,OKC-NJN,84-74,Team,
28-18,20-17,15-16,21-23,
OKC
Kevin Durant,F,44:31,9,22,0.409,0,6,0.000,2,6,0.333,1,14,15,3,2,1,5,2,20,12.000
Serge Ibaka,F,28:19,2,6,0.333,0,0,0.000,2,2,1.000,5,4,9,0,0,5,2,1,6,6.000
Kendrick Perkins,C,30:02,2,6,0.333,0,0,0.000,1,2,0.500,2,4,6,0,0,2,4,1,5,0.000
Thabo Sefolosha,G,32:58,0,2,0.000,0,0,0.000,2,2,1.000,2,6,8,2,1,0,2,2,2,7.000
Russell Westbrook,G,35:39,9,21,0.429,1,3,0.333,2,4,0.500,0,3,3,6,2,1,3,3,21,8.000
James Harden,,27:31,5,9,0.556,1,3,0.333,5,6,0.833,2,7,9,2,1,1,1,1,16,3.000
Nick Collison,,17:56,2,3,0.667,0,0,0.000,0,0,0.000,1,2,3,0,0,0,0,3,4,10.000
Nazr Mohammed,,4:56,0,1,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,0,-1.000
Reggie Jackson,,12:21,2,5,0.400,1,3,0.333,2,2,1.000,0,0,0,0,2,0,2,3,7,2.000
Daequan Cook,,5:47,1,2,0.500,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,0,3,3.000
NJN
DeShawn Stevenson,F,30:58,2,6,0.333,1,4,0.250,3,3,1.000,2,3,5,0,0,1,2,2,8,5.000
Kris Humphries,F,42:56,6,17,0.353,0,0,0.000,0,0,0.000,6,10,16,0,2,3,2,1,12,-2.000
Mehmet Okur,C,26:25,0,2,0.000,0,1,0.000,0,0,0.000,2,7,9,2,1,0,2,1,0,-20.000
MarShon Brooks,G,34:19,6,17,0.353,0,4,0.000,2,3,0.667,3,2,5,1,2,1,2,4,14,-15.000
Deron Williams,G,39:02,5,18,0.278,0,6,0.000,4,4,1.000,0,4,4,6,1,0,3,1,14,-5.000
Anthony Morrow,,24:50,2,13,0.154,1,4,0.250,1,1,1.000,0,0,0,1,1,0,2,2,6,-8.000
Shelden Williams,,10:01,1,1,1.000,0,0,0.000,1,2,0.500,3,1,4,1,0,0,0,3,3,-8.000
Jordan Farmar,,19:38,4,10,0.400,1,4,0.250,4,4,1.000,0,0,0,3,1,0,2,2,13,-4.000
Sundiata Gaines,,2:41,0,1,0.000,0,0,0.000,2,2,1.000,0,0,0,0,1,0,1,0,2,1.000
Johan Petro,,7:58,1,2,0.500,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,0,2,4.000
Larry Owens,,1:12,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,2.000
