01-26,CHA-WAS,75-92,Team,
17-31,11-17,21-23,26-21,
CHA
Derrick Brown,F,29:18,3,7,0.429,0,0,0.000,4,6,0.667,3,3,6,0,1,0,3,0,10,-15.000
Tyrus Thomas,F,32:45,5,9,0.556,0,0,0.000,3,4,0.750,2,7,9,1,4,9,2,2,13,-9.000
Byron Mullens,C,17:59,1,6,0.167,0,0,0.000,3,4,0.750,0,0,0,1,1,0,1,3,5,-15.000
Matt Carroll,G,34:31,7,10,0.700,0,1,0.000,3,3,1.000,0,3,3,1,1,0,3,2,17,-17.000
Kemba Walker,G,37:55,4,19,0.211,0,4,0.000,0,0,0.000,0,6,6,4,1,0,3,0,8,-17.000
Boris Diaw,,20:41,2,8,0.250,0,2,0.000,0,0,0.000,3,2,5,2,1,0,1,0,4,-12.000
DJ White,,9:16,1,4,0.250,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,1,2,-7.000
Cory Higgins,,20:44,4,10,0.400,1,2,0.500,4,6,0.667,0,0,0,3,0,0,4,1,13,0.000
Bismack Biyombo,,23:32,0,2,0.000,0,0,0.000,1,2,0.500,4,3,7,0,0,4,1,1,1,0.000
Eduardo Najera,,2:15,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,0,-1.000
DeSagana Diop,,11:04,1,3,0.333,0,0,0.000,0,0,0.000,1,0,1,1,3,0,0,0,2,8.000
WAS
Rashard Lewis,F,23:54,3,8,0.375,0,1,0.000,0,0,0.000,1,1,2,3,0,0,1,1,6,16.000
Andray Blatche,F,23:51,7,15,0.467,0,1,0.000,3,4,0.750,4,6,10,4,2,0,1,2,17,15.000
JaVale McGee,C,21:23,3,5,0.600,0,0,0.000,0,0,0.000,4,6,10,1,0,4,1,1,6,14.000
Nick Young,G,29:13,7,18,0.389,2,4,0.500,4,4,1.000,1,1,2,0,0,0,0,5,20,5.000
John Wall,G,26:16,6,9,0.667,0,0,0.000,0,0,0.000,1,5,6,4,0,2,7,3,12,9.000
Jan Vesely,,19:09,3,3,1.000,0,0,0.000,0,1,0.000,1,5,6,0,1,3,3,5,6,11.000
Kevin Seraphin,,22:23,3,6,0.500,0,0,0.000,2,3,0.667,3,4,7,1,0,1,2,3,8,2.000
Shelvin Mack,,21:44,1,4,0.250,1,2,0.500,1,2,0.500,0,3,3,4,0,0,1,2,4,8.000
Jordan Crawford,,18:47,4,9,0.444,0,1,0.000,1,2,0.500,0,0,0,5,1,1,3,1,9,12.000
Chris Singleton,,24:06,1,4,0.250,0,1,0.000,0,0,0.000,0,4,4,1,5,1,1,3,2,1.000
Trevor Booker,,9:14,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,0,1,1,2,2,2,-8.000
