02-12,NYK-MIN,100-98,Team,
30-33,24-29,28-25,18-11,
NYK
Henry Walker,F,24:12,0,5,0.000,0,2,0.000,3,4,0.750,0,2,2,2,1,0,1,1,3,-4.000
Jared Jeffries,F,29:58,3,5,0.600,0,0,0.000,2,4,0.500,1,7,8,1,3,0,1,4,8,-2.000
Tyson Chandler,C,37:21,6,10,0.600,0,0,0.000,0,2,0.000,2,5,7,3,2,1,1,5,12,-2.000
Landry Fields,G,34:38,8,10,0.800,0,1,0.000,3,4,0.750,1,3,4,4,0,0,5,2,19,8.000
Jeremy Lin,G,38:53,8,24,0.333,0,3,0.000,4,7,0.571,2,4,6,8,3,0,6,3,20,5.000
Steve Novak,,29:28,5,10,0.500,4,6,0.667,1,1,1.000,0,6,6,0,0,0,1,1,15,5.000
Iman Shumpert,,29:17,9,16,0.563,2,4,0.500,0,0,0.000,1,0,1,2,4,0,3,6,20,4.000
Mike Bibby,,16:13,1,4,0.250,1,3,0.333,0,0,0.000,0,4,4,0,0,0,1,0,3,-4.000
MIN
Wesley Johnson,F,17:25,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,1,0,2.000
Kevin Love,F,43:26,10,21,0.476,2,6,0.333,10,10,1.000,3,18,21,0,1,1,3,3,32,-2.000
Nikola Pekovic,C,29:41,9,10,0.900,0,0,0.000,3,3,1.000,6,7,13,2,1,1,4,4,21,-1.000
Luke Ridnour,G,27:07,2,7,0.286,1,4,0.250,0,0,0.000,0,0,0,1,1,0,2,6,5,-4.000
Ricky Rubio,G,35:02,5,15,0.333,0,2,0.000,2,2,1.000,0,2,2,8,3,1,2,2,12,-3.000
Jose Juan Barea,,21:20,4,10,0.400,1,4,0.250,2,2,1.000,1,2,3,5,2,0,5,1,11,-4.000
Michael Beasley,,31:24,3,9,0.333,1,2,0.500,1,2,0.500,0,2,2,0,0,1,1,1,8,1.000
Martell Webster,,9:34,1,1,1.000,1,1,1.000,0,0,0.000,0,1,1,0,0,0,0,0,3,1.000
Derrick Williams,,13:41,3,6,0.500,0,0,0.000,0,0,0.000,0,3,3,1,1,0,3,2,6,3.000
Wayne Ellington,,11:21,0,3,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,1,1,0,-3.000
