02-15,ATL-LAL,78-86,Team,
24-27,17-15,10-17,27-27,
ATL
Marvin Williams,F,24:43,2,8,0.250,0,1,0.000,0,0,0.000,3,3,6,0,0,0,1,2,4,-6.000
Josh Smith,F,32:28,7,18,0.389,0,2,0.000,1,4,0.250,2,7,9,3,2,3,3,2,15,8.000
Zaza Pachulia,C,27:23,0,2,0.000,0,0,0.000,1,2,0.500,4,6,10,1,4,1,1,4,1,-13.000
Joe Johnson,G,36:44,7,17,0.412,1,8,0.125,0,0,0.000,1,2,3,5,0,0,2,1,15,-2.000
Jeff Teague,G,33:32,6,16,0.375,2,5,0.400,4,4,1.000,0,2,2,2,3,2,1,2,18,-4.000
Erick Dampier,,16:12,0,3,0.000,0,0,0.000,0,0,0.000,2,2,4,1,1,1,0,0,0,-1.000
Tracy McGrady,,15:13,2,6,0.333,1,1,1.000,0,0,0.000,3,3,6,0,0,0,2,2,5,-6.000
Kirk Hinrich,,14:28,2,6,0.333,0,3,0.000,1,2,0.500,0,1,1,2,0,0,0,1,5,-4.000
Vladimir Radmanovic,,28:01,3,8,0.375,3,6,0.500,0,0,0.000,2,4,6,0,1,1,1,1,9,-6.000
Willie Green,,11:16,2,6,0.333,0,1,0.000,2,2,1.000,0,0,0,0,1,0,0,0,6,-6.000
LAL
Metta World Peace,F,26:49,4,7,0.571,2,5,0.400,0,0,0.000,0,4,4,1,1,0,2,0,10,1.000
Pau Gasol,F,34:36,9,22,0.409,1,1,1.000,1,2,0.500,8,5,13,1,0,4,1,4,20,2.000
Andrew Bynum,C,31:03,7,10,0.700,0,0,0.000,1,1,1.000,4,11,15,0,0,2,2,0,15,6.000
Kobe Bryant,G,34:20,5,18,0.278,0,3,0.000,0,0,0.000,1,3,4,4,0,0,5,3,10,3.000
Derek Fisher,G,18:34,1,4,0.250,0,0,0.000,1,2,0.500,0,3,3,3,0,0,2,1,3,-2.000
Matt Barnes,,21:11,3,7,0.429,0,0,0.000,1,4,0.250,1,4,5,1,1,1,2,2,7,7.000
Troy Murphy,,30:21,2,5,0.400,2,4,0.500,0,0,0.000,0,3,3,4,1,0,0,1,6,8.000
Steve Blake,,29:26,2,5,0.400,1,2,0.500,0,0,0.000,0,3,3,6,1,0,2,1,5,10.000
Andrew Goudelock,,13:40,4,6,0.667,2,2,1.000,0,0,0.000,0,2,2,0,0,0,1,1,10,5.000
