02-16,POR-GSW,93-91,Team,
20-27,37-27,15-16,21-21,
POR
Nicolas Batum,F,35:56,7,13,0.538,2,5,0.400,1,1,1.000,2,2,4,3,2,2,2,2,17,5.000
Gerald Wallace,F,38:33,6,13,0.462,4,4,1.000,8,8,1.000,3,3,6,0,2,1,3,3,24,-6.000
Marcus Camby,C,30:27,5,11,0.455,0,0,0.000,2,4,0.500,5,6,11,2,0,0,1,2,12,2.000
Wesley Matthews,G,34:01,4,12,0.333,1,6,0.167,0,0,0.000,0,3,3,4,0,0,1,1,9,0.000
Raymond Felton,G,39:21,4,15,0.267,2,5,0.400,0,0,0.000,2,1,3,6,1,0,2,1,10,5.000
Kurt Thomas,,11:47,1,3,0.333,0,0,0.000,0,0,0.000,0,3,3,1,0,1,2,4,2,6.000
Jamal Crawford,,27:30,5,13,0.385,1,1,1.000,3,3,1.000,0,3,3,6,2,0,1,1,14,7.000
Chris Johnson,,2:30,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-8.000
Elliot Williams,,8:07,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,1,1,1,0,-6.000
Craig Smith,,11:49,2,2,1.000,0,0,0.000,1,1,1.000,1,5,6,1,0,0,1,2,5,5.000
GSW
Dorell Wright,F,27:14,5,9,0.556,2,3,0.667,0,0,0.000,1,4,5,3,1,0,1,1,12,3.000
David Lee,F,40:40,13,20,0.650,0,0,0.000,3,4,0.750,4,7,11,3,0,0,1,3,29,-2.000
Andris Biedrins,C,16:37,1,1,1.000,0,0,0.000,0,0,0.000,3,6,9,0,0,2,0,2,2,5.000
Monta Ellis,G,27:23,3,9,0.333,1,3,0.333,3,4,0.750,0,3,3,5,0,0,2,0,10,5.000
Stephen Curry,G,37:44,3,10,0.300,0,2,0.000,2,2,1.000,1,2,3,8,2,2,2,2,8,7.000
Ekpe Udoh,,20:34,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,2,2,2,0,-7.000
Brandon Rush,,23:52,1,3,0.333,0,1,0.000,0,0,0.000,0,3,3,1,2,1,0,1,2,-7.000
Nate Robinson,,21:22,8,15,0.533,3,5,0.600,2,4,0.500,0,2,2,0,1,0,4,2,21,-3.000
Klay Thompson,,20:47,2,8,0.250,1,5,0.200,2,2,1.000,0,1,1,1,1,0,1,2,7,-7.000
Dominic McGuire,,3:48,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,2,1,0,0,2,0,-4.000
