02-18,DEN-MEM,102-103,Team,
15-34,28-26,30-23,29-20,
DEN
Corey Brewer,F,31:30,10,14,0.714,5,6,0.833,1,1,1.000,2,3,5,0,1,1,2,1,26,2.000
Al Harrington,F,25:08,0,3,0.000,0,0,0.000,4,6,0.667,1,2,3,0,2,0,2,4,4,-12.000
Kosta Koufos,C,5:49,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-10.000
Arron Afflalo,G,24:12,2,7,0.286,1,4,0.250,3,5,0.600,0,1,1,3,0,1,1,2,8,-21.000
Ty Lawson,G,37:31,8,14,0.571,0,1,0.000,2,2,1.000,1,2,3,6,2,0,2,2,18,-8.000
Timofey Mozgov,,15:38,1,3,0.333,0,0,0.000,0,0,0.000,0,4,4,0,0,1,0,2,2,-3.000
Andre Miller,,29:59,5,13,0.385,2,3,0.667,1,1,1.000,1,3,4,9,2,0,2,3,13,11.000
Rudy Fernandez,,21:06,3,7,0.429,0,3,0.000,0,0,0.000,0,0,0,0,2,0,2,1,6,17.000
Kenneth Faried,,24:50,9,15,0.600,0,0,0.000,0,1,0.000,5,5,10,0,1,2,1,2,18,14.000
Chris Andersen,,24:17,3,6,0.500,0,0,0.000,1,2,0.500,4,3,7,2,0,2,2,3,7,5.000
MEM
Rudy Gay,F,41:20,8,19,0.421,1,2,0.500,3,4,0.750,3,5,8,6,0,3,1,2,20,-1.000
Marreese Speights,F,34:56,5,8,0.625,0,0,0.000,2,3,0.667,3,7,10,2,0,2,1,3,12,6.000
Marc Gasol,C,41:05,5,11,0.455,0,0,0.000,6,7,0.857,4,10,14,8,0,3,7,3,16,10.000
Tony Allen,G,28:60,6,10,0.600,0,1,0.000,1,1,1.000,3,1,4,0,1,1,5,3,13,-11.000
Mike Conley,G,38:18,6,11,0.545,1,4,0.250,3,3,1.000,0,2,2,7,5,0,3,0,16,4.000
O.J. Mayo,,30:26,7,14,0.500,3,6,0.500,0,1,0.000,1,1,2,1,2,1,0,1,17,11.000
Dante Cunningham,,15:58,2,5,0.400,0,0,0.000,0,0,0.000,1,2,3,1,1,0,0,1,4,-11.000
Jeremy Pargo,,8:57,2,4,0.500,1,3,0.333,0,0,0.000,0,1,1,0,1,0,0,3,5,-3.000
Hamed Haddadi,,0:00,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
