03-01,POR-DEN,95-104,Team,
22-29,23-33,26-23,24-19,
POR
Gerald Wallace,F,35:16,2,7,0.286,0,2,0.000,0,0,0.000,1,2,3,5,2,1,2,1,4,-14.000
LaMarcus Aldridge,F,42:05,7,16,0.438,0,1,0.000,6,6,1.000,1,8,9,0,0,1,3,2,20,-4.000
Marcus Camby,C,16:07,5,5,1.000,0,0,0.000,0,0,0.000,1,3,4,0,1,3,1,1,10,-6.000
Nicolas Batum,G,32:33,4,13,0.308,1,3,0.333,0,0,0.000,5,2,7,3,1,2,1,1,9,-12.000
Jamal Crawford,G,35:46,8,15,0.533,5,9,0.556,0,0,0.000,0,5,5,5,1,2,1,0,21,-9.000
Kurt Thomas,,0:49,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
Craig Smith,,4:32,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,3,0,-9.000
Wesley Matthews,,27:59,4,11,0.364,1,5,0.200,2,3,0.667,0,3,3,2,0,0,2,4,11,3.000
Raymond Felton,,23:54,3,8,0.375,0,0,0.000,0,0,0.000,0,2,2,7,1,0,1,3,6,0.000
Elliot Williams,,11:28,4,10,0.400,2,4,0.500,0,0,0.000,2,0,2,1,0,0,0,1,10,-2.000
Chris Johnson,,9:32,1,2,0.500,0,0,0.000,2,2,1.000,1,0,1,0,0,1,1,2,4,6.000
DEN
Corey Brewer,F,26:17,5,14,0.357,1,4,0.250,0,1,0.000,2,2,4,0,1,0,2,1,11,4.000
Kenneth Faried,F,17:23,6,6,1.000,0,0,0.000,1,2,0.500,7,3,10,0,1,0,1,2,13,8.000
Timofey Mozgov,C,22:32,6,10,0.600,0,0,0.000,2,3,0.667,5,4,9,1,0,2,2,3,14,3.000
Arron Afflalo,G,36:22,4,13,0.308,1,5,0.200,3,6,0.500,0,1,1,6,0,3,0,1,12,7.000
Ty Lawson,G,37:44,8,15,0.533,2,4,0.500,0,0,0.000,0,5,5,9,1,0,2,1,18,15.000
Kosta Koufos,,24:43,4,8,0.500,0,0,0.000,0,0,0.000,5,6,11,0,0,4,1,3,8,1.000
Al Harrington,,31:22,5,11,0.455,1,3,0.333,2,2,1.000,2,8,10,2,2,1,0,0,13,6.000
Andre Miller,,29:15,1,4,0.250,0,2,0.000,2,2,1.000,0,3,3,5,2,0,4,3,4,-1.000
Jordan Hamilton,,14:22,5,10,0.500,1,3,0.333,0,0,0.000,0,1,1,3,0,0,0,2,11,2.000
