03-02,LAC-SAC,108-100,Team,
28-25,29-32,28-22,23-21,
LAC
Caron Butler,F,21:15,5,11,0.455,1,2,0.500,2,2,1.000,0,2,2,1,2,0,0,0,13,6.000
Blake Griffin,F,30:01,7,12,0.583,0,0,0.000,0,0,0.000,2,7,9,3,1,0,2,0,14,14.000
DeAndre Jordan,C,22:17,1,3,0.333,0,0,0.000,0,0,0.000,3,3,6,1,0,3,0,4,2,5.000
Randy Foye,G,26:44,6,13,0.462,3,7,0.429,1,1,1.000,0,4,4,5,1,1,1,2,16,-10.000
Chris Paul,G,32:23,9,18,0.500,1,2,0.500,3,3,1.000,1,1,2,9,3,0,2,1,22,17.000
Mo Williams,,25:05,7,14,0.500,4,7,0.571,0,0,0.000,1,0,1,5,3,0,1,0,18,13.000
Kenyon Martin,,23:08,4,7,0.571,0,0,0.000,0,0,0.000,0,3,3,1,0,3,0,3,8,12.000
Bobby Simmons,,24:10,5,8,0.625,3,4,0.750,0,0,0.000,0,2,2,1,0,0,0,2,13,11.000
Eric Bledsoe,,9:58,0,2,0.000,0,0,0.000,2,2,1.000,0,0,0,3,0,1,2,6,2,3.000
Reggie Evans,,17:59,0,1,0.000,0,0,0.000,0,0,0.000,0,3,3,1,0,0,1,1,0,-6.000
Ryan Gomes,,2:35,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-9.000
Trey Thompkins,,2:35,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,0,0,0,-9.000
Brian Cook,,1:50,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-7.000
SAC
Tyreke Evans,F,34:38,7,21,0.333,0,2,0.000,4,4,1.000,3,3,6,3,0,3,4,2,18,-6.000
Jason Thompson,F,27:53,1,1,1.000,0,0,0.000,2,6,0.333,0,1,1,0,1,0,0,3,4,-4.000
DeMarcus Cousins,C,31:47,9,17,0.529,1,1,1.000,4,6,0.667,3,7,10,1,0,3,3,4,23,-22.000
Marcus Thornton,G,33:11,8,15,0.533,1,4,0.250,1,1,1.000,1,2,3,0,0,0,1,2,18,-14.000
Isaiah Thomas,G,30:32,2,4,0.500,2,3,0.667,4,4,1.000,0,5,5,4,0,1,6,1,10,-8.000
JJ Hickson,,13:13,2,4,0.500,0,0,0.000,0,0,0.000,1,1,2,1,1,1,0,1,4,5.000
Charles Hayes,,16:19,0,1,0.000,0,0,0.000,0,0,0.000,2,1,3,1,1,0,0,1,0,3.000
John Salmons,,22:42,3,5,0.600,1,2,0.500,0,0,0.000,0,3,3,1,0,0,1,2,7,-4.000
Jimmer Fredette,,12:47,3,5,0.600,3,4,0.750,2,2,1.000,0,2,2,3,0,0,3,0,11,-3.000
Francisco Garcia,,15:09,1,4,0.250,1,4,0.250,0,0,0.000,0,3,3,0,0,1,0,1,3,6.000
Hassan Whiteside,,1:50,1,2,0.500,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,0,2,7.000
