03-04,MIL-ORL,98-114,Team,
21-36,39-25,20-24,18-29,
MIL
Tobias Harris,F,21:05,2,4,0.500,0,0,0.000,0,0,0.000,1,1,2,1,2,0,3,2,4,-5.000
Ersan Ilyasova,F,31:07,7,13,0.538,1,1,1.000,3,3,1.000,3,4,7,3,1,1,4,3,18,-19.000
Drew Gooden,C,29:47,2,7,0.286,0,1,0.000,3,4,0.750,2,3,5,1,3,0,4,5,7,-14.000
Carlos Delfino,G,28:37,3,9,0.333,2,5,0.400,2,2,1.000,0,2,2,4,0,0,1,2,10,-9.000
Brandon Jennings,G,32:24,9,17,0.529,1,5,0.200,8,12,0.667,0,3,3,5,0,0,3,2,27,-16.000
Mike Dunleavy,,29:33,3,7,0.429,2,2,1.000,0,0,0.000,0,4,4,1,1,0,1,0,8,-5.000
Luc Mbah a Moute,,24:16,3,5,0.600,0,0,0.000,2,5,0.400,2,4,6,2,1,0,1,1,8,-11.000
Beno Udrih,,22:20,2,8,0.250,0,2,0.000,0,0,0.000,1,1,2,4,2,0,3,0,4,-10.000
Larry Sanders,,11:35,4,5,0.800,0,0,0.000,0,1,0.000,0,1,1,0,0,2,0,4,8,10.000
Jon Brockman,,6:40,2,3,0.667,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,2,4,-3.000
Jon Leuer,,2:37,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
ORL
Hedo Turkoglu,F,30:05,6,10,0.600,2,4,0.500,2,3,0.667,1,4,5,9,0,0,2,4,16,20.000
Ryan Anderson,F,27:21,4,9,0.444,3,6,0.500,5,5,1.000,1,5,6,1,5,1,1,3,16,9.000
Dwight Howard,C,39:16,11,17,0.647,0,0,0.000,6,14,0.429,4,10,14,0,4,1,5,4,28,29.000
Jason Richardson,G,34:11,8,15,0.533,2,6,0.333,0,0,0.000,2,3,5,3,2,1,2,2,18,23.000
Jameer Nelson,G,24:30,3,6,0.500,1,2,0.500,1,2,0.500,1,1,2,10,0,0,1,4,8,15.000
Glen Davis,,18:33,1,5,0.200,0,0,0.000,0,1,0.000,3,6,9,1,0,1,3,2,2,5.000
JJ Redick,,28:49,5,11,0.455,2,4,0.500,2,2,1.000,0,2,2,1,0,0,0,2,14,4.000
Chris Duhon,,22:01,4,6,0.667,4,5,0.800,0,0,0.000,1,0,1,1,0,0,2,1,12,1.000
Earl Clark,,6:42,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,2,2,0,-14.000
Von Wafer,,5:34,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-12.000
Ish Smith,,1:29,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,0,0,0.000
Daniel Orton,,1:29,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,0.000
