03-05,NYK-BOS,111-115,Team,
29-27,27-24,16-29,31-23,8-12,
NYK
Carmelo Anthony,F,30:24,8,17,0.471,0,0,0.000,7,8,0.875,3,2,5,2,0,0,2,4,23,-4.000
Tyson Chandler,C,25:33,3,5,0.600,0,1,0.000,2,2,1.000,3,7,10,2,1,2,2,2,8,-14.000
Landry Fields,G,15:03,1,4,0.250,1,1,1.000,0,0,0.000,0,1,1,1,0,0,2,1,3,-16.000
Jeremy Lin,G,26:50,5,9,0.556,1,1,1.000,1,2,0.500,0,3,3,3,0,0,6,3,12,-5.000
Baron Davis,,20:35,3,5,0.600,2,3,0.667,0,0,0.000,0,2,2,7,1,0,6,2,8,10.000
J.R. Smith,,19:52,1,6,0.167,0,3,0.000,0,0,0.000,0,0,0,1,1,1,0,3,2,-2.000
Steve Novak,,26:36,4,8,0.500,4,7,0.571,2,2,1.000,0,2,2,0,0,0,0,1,14,12.000
Jared Jeffries,,16:44,2,2,1.000,0,0,0.000,3,4,0.750,1,1,2,1,2,0,1,2,7,8.000
Iman Shumpert,,25:43,6,9,0.667,0,0,0.000,2,2,1.000,2,3,5,3,2,0,2,3,14,15.000
BOS
Paul Pierce,F,41:19,13,23,0.565,4,7,0.571,4,5,0.800,2,4,6,3,2,0,2,2,34,-1.000
Brandon Bass,F,24:47,6,10,0.600,0,0,0.000,4,4,1.000,1,2,3,0,0,3,2,3,16,-4.000
Kevin Garnett,C,36:03,8,21,0.381,0,0,0.000,2,2,1.000,3,7,10,2,4,1,1,5,18,6.000
Ray Allen,G,39:58,2,6,0.333,1,3,0.333,2,2,1.000,0,0,0,1,4,0,0,1,7,18.000
Rajon Rondo,G,42:47,5,17,0.294,0,0,0.000,3,5,0.600,3,9,12,18,1,1,4,3,13,1.000
Chris Wilcox,,16:34,3,4,0.750,0,0,0.000,0,0,0.000,1,2,3,0,0,0,2,3,6,-3.000
Mickael Pietrus,,23:56,2,9,0.222,1,6,0.167,0,0,0.000,1,1,2,1,0,0,1,3,5,-8.000
Avery Bradley,,5:13,1,3,0.333,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,2,-1.000
Keyon Dooling,,9:24,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,1,1,0,1,0,2,-8.000
