03-12,HOU-CLE,107-118,Team,
26-30,31-24,27-27,23-37,
HOU
Chandler Parsons,F,27:25,4,6,0.667,1,3,0.333,0,0,0.000,2,1,3,3,0,0,2,4,9,-4.000
Luis Scola,F,38:35,15,25,0.600,0,0,0.000,0,1,0.000,1,7,8,1,1,0,0,4,30,-4.000
Samuel Dalembert,C,31:32,6,11,0.545,0,0,0.000,3,4,0.750,3,7,10,0,1,5,0,2,15,9.000
Kevin Martin,G,15:53,1,6,0.167,0,3,0.000,1,2,0.500,0,4,4,4,0,0,3,0,3,-3.000
Goran Dragic,G,34:21,7,11,0.636,4,5,0.800,2,2,1.000,1,0,1,8,1,0,4,5,20,7.000
Courtney Lee,,24:13,2,5,0.400,1,2,0.500,0,0,0.000,0,3,3,3,2,0,1,1,5,-10.000
Jonny Flynn,,13:39,1,4,0.250,0,1,0.000,2,2,1.000,0,0,0,2,0,0,0,2,4,-18.000
Patrick Patterson,,17:45,2,4,0.500,0,0,0.000,0,0,0.000,1,2,3,1,0,1,1,3,4,-10.000
Chase Budinger,,29:47,6,10,0.600,2,3,0.667,2,4,0.500,0,4,4,3,0,0,1,0,16,-8.000
Jordan Hill,,6:50,0,4,0.000,0,0,0.000,1,2,0.500,1,2,3,0,0,0,1,4,1,-14.000
CLE
Alonzo Gee,F,33:03,4,11,0.364,0,0,0.000,3,4,0.750,2,2,4,2,3,0,1,5,11,-4.000
Antawn Jamison,F,28:38,8,16,0.500,4,7,0.571,8,8,1.000,1,4,5,2,0,1,0,3,28,7.000
Ryan Hollins,C,18:36,2,3,0.667,0,0,0.000,0,1,0.000,0,3,3,1,1,0,2,2,4,-13.000
Anthony Parker,G,21:04,2,4,0.500,1,1,1.000,0,0,0.000,0,1,1,2,0,1,2,0,5,-10.000
Kyrie Irving,G,28:42,5,15,0.333,1,3,0.333,10,10,1.000,1,5,6,5,0,0,3,1,21,0.000
Tristan Thompson,,23:15,2,2,1.000,0,0,0.000,0,2,0.000,1,3,4,3,0,0,1,4,4,16.000
Ramon Sessions,,20:36,4,8,0.500,2,2,1.000,5,5,1.000,0,4,4,7,0,0,1,2,15,14.000
Samardo Samuels,,24:13,4,6,0.667,0,0,0.000,3,4,0.750,3,2,5,0,0,1,1,3,11,9.000
Daniel Gibson,,26:56,5,10,0.500,1,4,0.250,0,0,0.000,1,3,4,2,2,0,1,1,11,21.000
Omri Casspi,,14:57,3,7,0.429,2,3,0.667,0,2,0.000,1,4,5,1,0,1,1,0,8,15.000
