03-15,DET-SAC,124-112,Team,
25-32,32-26,40-23,27-31,
DET
Tayshaun Prince,F,36:35,12,20,0.600,3,3,1.000,1,2,0.500,1,4,5,7,1,2,2,3,28,26.000
Jason Maxiell,F,28:53,4,6,0.667,0,0,0.000,1,1,1.000,0,5,5,0,0,0,0,4,9,17.000
Greg Monroe,C,35:05,15,20,0.750,0,0,0.000,2,3,0.667,6,5,11,3,0,0,2,4,32,15.000
Rodney Stuckey,G,41:47,10,18,0.556,4,6,0.667,11,12,0.917,1,4,5,6,0,0,1,0,35,23.000
Brandon Knight,G,38:10,5,10,0.500,0,3,0.000,0,0,0.000,0,5,5,11,2,0,0,2,10,14.000
Ben Gordon,,16:42,2,4,0.500,1,1,1.000,1,2,0.500,0,0,0,1,1,0,3,0,6,-9.000
Jonas Jerebko,,15:18,2,4,0.500,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,4,4,-6.000
Damien Wilkins,,14:35,0,2,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,2,2,0,-17.000
Ben Wallace,,12:55,0,2,0.000,0,0,0.000,0,0,0.000,1,3,4,1,1,0,0,1,0,-3.000
SAC
Tyreke Evans,F,27:46,9,17,0.529,0,1,0.000,5,5,1.000,2,1,3,2,2,1,2,1,23,-6.000
Jason Thompson,F,39:59,10,12,0.833,0,0,0.000,1,3,0.333,5,10,15,4,1,1,2,4,21,-8.000
DeMarcus Cousins,C,27:40,5,15,0.333,0,1,0.000,4,6,0.667,3,4,7,2,2,1,2,5,14,5.000
Marcus Thornton,G,33:46,3,9,0.333,2,4,0.500,1,1,1.000,1,4,5,6,1,0,0,2,9,-6.000
Isaiah Thomas,G,36:53,8,14,0.571,1,5,0.200,4,7,0.571,1,2,3,4,0,1,2,4,21,-2.000
John Salmons,,28:31,3,8,0.375,0,3,0.000,0,0,0.000,0,2,2,5,0,0,2,1,6,-14.000
Francisco Garcia,,14:53,5,8,0.625,2,4,0.500,0,0,0.000,0,0,0,0,1,0,0,2,12,-10.000
Charles Hayes,,23:23,2,3,0.667,0,0,0.000,2,2,1.000,1,0,1,2,1,0,2,2,6,-19.000
Jimmer Fredette,,7:09,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,0.000
