03-18,SAS-DAL,99-106,Team,
19-28,25-18,24-32,31-28,
SAS
Kawhi Leonard,F,29:41,2,6,0.333,1,4,0.250,0,0,0.000,1,4,5,2,2,0,1,2,5,-10.000
Tim Duncan,F,29:08,7,12,0.583,0,0,0.000,3,5,0.600,0,4,4,1,0,3,1,3,17,-8.000
DeJuan Blair,C,15:28,3,6,0.500,0,0,0.000,0,0,0.000,1,4,5,1,1,0,1,3,6,-19.000
Danny Green,G,21:00,6,8,0.750,3,4,0.750,2,2,1.000,0,2,2,0,0,0,1,4,17,-10.000
Tony Parker,G,34:51,5,12,0.417,0,1,0.000,3,7,0.429,0,2,2,11,0,0,1,0,13,-4.000
Gary Neal,,27:55,3,7,0.429,3,4,0.750,0,0,0.000,1,3,4,2,1,0,1,2,9,-2.000
Tiago Splitter,,18:52,7,11,0.636,0,0,0.000,1,2,0.500,1,5,6,0,0,0,1,2,15,1.000
Manu Ginobili,,24:22,3,11,0.273,2,7,0.286,1,2,0.500,0,3,3,6,0,0,2,4,9,4.000
Matt Bonner,,22:05,1,2,0.500,1,2,0.500,0,0,0.000,1,3,4,0,0,0,1,2,3,2.000
Stephen Jackson,,16:38,2,4,0.500,1,2,0.500,0,0,0.000,0,0,0,1,0,0,1,2,5,11.000
DAL
Vince Carter,F,29:30,3,6,0.500,1,3,0.333,3,4,0.750,3,3,6,2,1,0,0,2,10,23.000
Dirk Nowitzki,F,36:06,9,19,0.474,2,3,0.667,7,7,1.000,1,5,6,4,0,0,4,2,27,5.000
Ian Mahinmi,C,28:40,2,4,0.500,0,0,0.000,3,4,0.750,2,6,8,0,1,0,1,4,7,1.000
Rodrigue Beaubois,G,35:18,8,16,0.500,0,4,0.000,0,0,0.000,0,8,8,1,1,0,3,2,16,-4.000
Jason Kidd,G,33:44,5,9,0.556,4,5,0.800,0,0,0.000,0,5,5,10,0,0,1,1,14,20.000
Jason Terry,,30:22,6,10,0.600,3,4,0.750,2,2,1.000,0,3,3,2,0,0,2,1,17,-6.000
Lamar Odom,,20:36,1,7,0.143,0,2,0.000,2,2,1.000,0,3,3,1,1,1,0,1,4,-4.000
Brian Cardinal,,6:05,1,3,0.333,1,3,0.333,0,0,0.000,0,0,0,0,0,0,0,0,3,-6.000
Brandan Wright,,19:39,2,5,0.400,0,0,0.000,4,6,0.667,3,6,9,1,1,1,0,2,8,6.000
