03-24,CLE-ORL,80-93,Team,
20-31,20-24,23-17,17-21,
CLE
Alonzo Gee,F,31:31,3,12,0.250,0,4,0.000,4,6,0.667,2,2,4,1,2,0,1,0,10,-12.000
Antawn Jamison,F,35:38,8,18,0.444,0,1,0.000,0,2,0.000,5,4,9,1,0,0,2,1,16,-16.000
Tristan Thompson,C,37:29,5,13,0.385,0,0,0.000,5,5,1.000,6,5,11,0,1,2,3,3,15,-9.000
Anthony Parker,G,22:50,2,3,0.667,1,2,0.500,0,0,0.000,0,5,5,0,0,0,1,3,5,-1.000
Kyrie Irving,G,31:31,6,15,0.400,1,4,0.250,0,0,0.000,0,4,4,6,2,0,1,1,13,-12.000
Manny Harris,,25:10,2,9,0.222,0,2,0.000,3,4,0.750,2,1,3,0,1,0,1,2,7,-12.000
Samardo Samuels,,11:38,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,0,0,-2.000
Donald Sloan,,16:29,1,3,0.333,0,1,0.000,1,2,0.500,1,2,3,2,1,0,3,1,3,-1.000
Omri Casspi,,16:29,4,7,0.571,2,4,0.500,1,2,0.500,0,3,3,0,1,0,2,3,11,-1.000
Semih Erden,,8:35,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Luke Walton,,2:40,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,0,0,3.000
ORL
Hedo Turkoglu,F,34:41,6,10,0.600,3,5,0.600,0,0,0.000,1,5,6,7,0,1,4,4,15,21.000
Ryan Anderson,F,36:09,5,14,0.357,3,11,0.273,4,4,1.000,5,3,8,0,3,2,1,2,17,15.000
Dwight Howard,C,31:14,7,8,0.875,0,0,0.000,2,6,0.333,3,10,13,1,2,2,3,4,16,12.000
Jason Richardson,G,24:02,5,8,0.625,1,4,0.250,0,0,0.000,0,3,3,0,1,1,2,3,11,5.000
Jameer Nelson,G,28:05,4,10,0.400,2,5,0.400,0,0,0.000,0,3,3,7,0,0,1,1,10,13.000
JJ Redick,,26:24,3,7,0.429,2,3,0.667,0,0,0.000,0,2,2,4,0,0,0,2,8,12.000
Glen Davis,,23:58,4,12,0.333,0,0,0.000,1,2,0.500,2,4,6,3,1,1,1,1,9,6.000
Chris Duhon,,17:56,1,2,0.500,1,2,0.500,0,0,0.000,0,3,3,2,2,0,2,2,3,4.000
Quentin Richardson,,8:54,1,5,0.200,0,4,0.000,0,0,0.000,0,1,1,0,1,0,1,0,2,-8.000
Earl Clark,,2:40,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,2,-3.000
Ish Smith,,1:59,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-4.000
DeAndre Liggins,,1:59,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,0,0,-4.000
Daniel Orton,,1:59,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-4.000
