03-25,MEM-LAC,85-101,Team,
17-33,25-23,19-25,24-20,
MEM
Rudy Gay,F,26:44,4,9,0.444,1,2,0.500,2,3,0.667,1,1,2,1,0,0,2,2,11,-21.000
Zach Randolph,F,37:45,6,16,0.375,0,0,0.000,2,2,1.000,3,5,8,2,2,0,0,2,14,0.000
Marc Gasol,C,33:35,3,12,0.250,0,1,0.000,0,0,0.000,4,4,8,2,0,0,3,4,6,-3.000
Tony Allen,G,26:50,3,5,0.600,1,1,1.000,4,4,1.000,2,4,6,2,0,1,3,2,11,-10.000
Mike Conley,G,21:52,4,6,0.667,1,1,1.000,0,0,0.000,1,2,3,9,2,0,2,4,9,1.000
Dante Cunningham,,10:15,0,3,0.000,0,0,0.000,0,0,0.000,1,1,2,1,0,1,0,1,0,-16.000
Gilbert Arenas,,18:39,1,5,0.200,0,1,0.000,0,0,0.000,0,1,1,1,0,0,2,3,2,-15.000
Marreese Speights,,13:24,3,4,0.750,0,0,0.000,1,2,0.500,0,2,2,0,0,0,1,1,7,-9.000
O.J. Mayo,,24:19,5,12,0.417,2,4,0.500,1,3,0.333,1,2,3,6,0,2,2,4,13,-8.000
Quincy Pondexter,,18:07,3,3,1.000,3,3,1.000,0,0,0.000,0,0,0,1,2,0,0,1,9,7.000
Jeremy Pargo,,7:29,1,3,0.333,1,2,0.500,0,0,0.000,1,0,1,1,0,0,1,1,3,-2.000
Hamed Haddadi,,1:01,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,1,0,-4.000
LAC
Caron Butler,F,28:49,6,11,0.545,0,1,0.000,0,0,0.000,1,6,7,1,1,0,1,1,12,11.000
Blake Griffin,F,34:15,6,9,0.667,0,0,0.000,8,12,0.667,3,7,10,5,1,1,3,2,20,20.000
DeAndre Jordan,C,34:20,3,4,0.750,0,0,0.000,0,0,0.000,1,5,6,0,1,1,0,0,6,9.000
Randy Foye,G,30:15,5,11,0.455,4,8,0.500,4,5,0.800,0,3,3,1,1,1,2,3,18,16.000
Chris Paul,G,36:00,6,13,0.462,0,4,0.000,7,9,0.778,0,1,1,13,2,0,1,3,19,28.000
Kenyon Martin,,13:10,2,4,0.500,0,0,0.000,0,0,0.000,1,2,3,0,0,0,1,1,4,12.000
Nick Young,,26:23,6,13,0.462,0,1,0.000,4,5,0.800,2,1,3,1,0,0,0,1,16,5.000
Bobby Simmons,,10:33,1,3,0.333,1,2,0.500,0,0,0.000,0,0,0,1,0,0,0,1,3,0.000
Reggie Evans,,12:44,1,2,0.500,0,0,0.000,1,2,0.500,1,2,3,0,2,0,1,4,3,-8.000
Eric Bledsoe,,12:00,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,2,0,1,1,0,0,-12.000
Trey Thompkins,,1:31,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-1.000
