03-28,LAL-GSW,104-101,Team,
25-16,30-32,24-24,25-29,
LAL
Metta World Peace,F,34:22,5,13,0.385,1,5,0.200,0,0,0.000,4,1,5,3,1,1,1,3,11,8.000
Pau Gasol,F,39:03,8,16,0.500,0,0,0.000,3,3,1.000,4,13,17,3,1,1,1,1,19,7.000
Andrew Bynum,C,23:14,4,13,0.308,0,1,0.000,3,5,0.600,3,2,5,1,0,1,0,1,11,-4.000
Kobe Bryant,G,37:13,9,24,0.375,1,5,0.200,11,12,0.917,2,3,5,5,0,0,3,1,30,3.000
Ramon Sessions,G,30:05,1,4,0.250,0,1,0.000,5,8,0.625,0,5,5,4,1,0,3,1,7,8.000
Matt Barnes,,30:03,7,10,0.700,3,5,0.600,1,2,0.500,2,8,10,3,0,2,2,2,18,-3.000
Josh McRoberts,,22:05,1,1,1.000,0,0,0.000,4,4,1.000,2,1,3,2,0,0,0,1,6,6.000
Steve Blake,,17:38,1,4,0.250,0,3,0.000,0,0,0.000,0,1,1,2,0,0,1,2,2,-3.000
Troy Murphy,,6:17,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,1,0,-7.000
GSW
Dorell Wright,F,24:07,5,8,0.625,2,5,0.400,1,1,1.000,0,3,3,1,1,1,0,4,13,-7.000
David Lee,F,41:25,8,21,0.381,0,0,0.000,7,8,0.875,4,5,9,4,0,1,1,6,23,-9.000
Jeremy Tyler,C,9:33,0,2,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,1,3,0,-1.000
Klay Thompson,G,38:05,10,25,0.400,0,5,0.000,0,0,0.000,3,2,5,7,2,0,1,4,20,-5.000
Charles Jenkins,G,25:30,4,9,0.444,0,0,0.000,4,4,1.000,0,1,1,3,1,0,1,1,12,-8.000
Mickell Gladness,,4:54,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,2,0,1,0,2.000
Brandon Rush,,32:40,9,15,0.600,2,3,0.667,3,3,1.000,0,3,3,1,0,2,0,1,23,-4.000
Richard Jefferson,,34:26,2,7,0.286,2,5,0.400,0,0,0.000,0,4,4,1,0,0,0,0,6,6.000
Dominic McGuire,,29:20,1,3,0.333,0,1,0.000,2,2,1.000,0,7,7,5,0,3,1,5,4,11.000
