03-29,MIN-CHA,88-83,Team,
24-21,21-26,23-18,20-18,
MIN
Wesley Johnson,F,31:44,2,4,0.500,1,3,0.333,0,0,0.000,0,5,5,0,0,0,2,4,5,11.000
Derrick Williams,F,22:51,2,11,0.182,0,2,0.000,1,2,0.500,0,2,2,0,0,0,1,3,5,9.000
Kevin Love,C,43:08,14,31,0.452,4,7,0.571,8,10,0.800,6,13,19,4,0,0,2,0,40,5.000
Martell Webster,G,40:43,3,7,0.429,2,5,0.400,0,0,0.000,2,4,6,1,0,1,1,4,8,5.000
Luke Ridnour,G,43:10,6,13,0.462,0,0,0.000,3,3,1.000,2,3,5,14,2,1,2,0,15,4.000
Anthony Tolliver,,30:01,4,7,0.571,1,2,0.500,2,5,0.400,3,8,11,2,0,1,4,2,11,-4.000
Wayne Ellington,,23:33,0,5,0.000,0,2,0.000,0,0,0.000,0,2,2,0,1,0,1,2,0,-6.000
Malcolm Lee,,4:50,2,3,0.667,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,2,4,1.000
CHA
Corey Maggette,F,34:13,7,15,0.467,1,2,0.500,7,7,1.000,0,4,4,3,2,0,1,3,22,-9.000
DJ White,F,31:35,7,12,0.583,0,0,0.000,0,0,0.000,1,4,5,2,0,1,0,3,14,-5.000
Bismack Biyombo,C,21:02,3,4,0.750,0,0,0.000,0,2,0.000,1,3,4,0,0,0,2,3,6,-11.000
Gerald Henderson,G,40:55,5,14,0.357,0,1,0.000,5,6,0.833,2,4,6,2,0,0,3,2,15,3.000
D.J. Augustin,G,24:00,0,4,0.000,0,2,0.000,0,0,0.000,1,1,2,8,0,0,1,1,0,-8.000
Derrick Brown,,16:58,1,3,0.333,0,0,0.000,0,0,0.000,0,2,2,0,1,1,0,3,2,-2.000
Byron Mullens,,11:51,0,3,0.000,0,0,0.000,0,0,0.000,0,2,2,2,1,0,0,0,0,-2.000
Reggie Williams,,16:08,1,7,0.143,0,2,0.000,0,0,0.000,1,1,2,1,0,0,0,1,2,-1.000
Kemba Walker,,24:00,6,13,0.462,2,6,0.333,6,7,0.857,0,3,3,4,1,0,1,2,20,3.000
Eduardo Najera,,19:18,1,3,0.333,0,0,0.000,0,0,0.000,0,8,8,0,0,0,1,3,2,7.000
