04-03,LAC-DAL,94-75,Team,
25-17,22-16,25-21,22-21,
LAC
Caron Butler,F,24:51,6,12,0.500,1,5,0.200,0,0,0.000,0,2,2,1,1,1,0,2,13,16.000
Blake Griffin,F,33:25,7,11,0.636,0,0,0.000,1,5,0.200,3,13,16,1,0,1,1,3,15,18.000
DeAndre Jordan,C,27:26,2,4,0.500,0,0,0.000,0,0,0.000,2,4,6,0,0,0,3,0,4,8.000
Randy Foye,G,34:43,10,19,0.526,8,15,0.533,0,0,0.000,0,3,3,0,2,0,2,4,28,9.000
Chris Paul,G,34:12,3,12,0.250,0,5,0.000,2,3,0.667,1,4,5,10,1,0,1,0,8,15.000
Kenyon Martin,,23:39,1,4,0.250,0,0,0.000,0,0,0.000,1,4,5,2,3,0,0,1,2,9.000
Bobby Simmons,,12:47,0,2,0.000,0,1,0.000,1,2,0.500,2,1,3,0,1,0,0,0,1,5.000
Eric Bledsoe,,18:28,4,8,0.500,0,1,0.000,1,2,0.500,2,2,4,1,2,0,2,3,9,5.000
Nick Young,,18:59,4,9,0.444,2,5,0.400,0,0,0.000,1,0,1,0,0,0,1,0,10,7.000
Reggie Evans,,8:32,0,0,0.000,0,0,0.000,0,0,0.000,1,3,4,1,0,0,0,1,0,3.000
Trey Thompkins,,2:58,2,2,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,4,0.000
DAL
Shawn Marion,F,24:54,2,9,0.222,0,2,0.000,0,0,0.000,2,7,9,2,1,2,1,0,4,-12.000
Dirk Nowitzki,F,35:48,7,14,0.500,1,2,0.500,4,4,1.000,0,4,4,0,1,1,2,1,19,-16.000
Brendan Haywood,C,16:03,2,6,0.333,0,0,0.000,1,2,0.500,3,1,4,0,0,0,0,1,5,-14.000
Vince Carter,G,28:53,1,6,0.167,0,2,0.000,1,3,0.333,0,7,7,2,0,0,2,3,3,-13.000
Delonte West,G,36:04,3,9,0.333,0,4,0.000,0,2,0.000,0,1,1,4,0,1,1,2,6,-12.000
Rodrigue Beaubois,,16:21,3,8,0.375,1,6,0.167,0,0,0.000,0,1,1,2,0,0,3,2,7,-11.000
Brian Cardinal,,11:21,1,2,0.500,1,2,0.500,0,0,0.000,0,2,2,0,0,0,0,1,3,-1.000
Jason Terry,,31:52,6,13,0.462,1,4,0.250,2,2,1.000,0,3,3,4,1,0,2,0,15,-9.000
Ian Mahinmi,,11:12,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,0,1,0,1,0,2,-5.000
Brandan Wright,,20:45,3,6,0.500,0,0,0.000,2,4,0.500,3,3,6,0,0,0,0,0,8,0.000
Yi Jianlian,,3:49,1,2,0.500,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,0,3,-2.000
Dominique Jones,,2:58,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
