04-03,MIN-SAC,108-116,Team,
30-33,28-32,28-22,22-29,
MIN
Wesley Johnson,F,21:56,3,5,0.600,2,2,1.000,0,0,0.000,1,3,4,1,0,0,1,1,8,6.000
Kevin Love,F,33:47,8,17,0.471,3,5,0.600,4,6,0.667,3,4,7,1,0,1,0,5,23,-8.000
Brad Miller,C,21:45,4,7,0.571,3,4,0.750,0,0,0.000,1,1,2,6,0,0,0,1,11,-6.000
Martell Webster,G,24:00,2,4,0.500,0,0,0.000,0,0,0.000,1,4,5,1,1,0,0,0,4,3.000
Luke Ridnour,G,30:09,5,14,0.357,0,1,0.000,3,5,0.600,0,2,2,6,1,0,2,3,13,3.000
Nikola Pekovic,,19:18,7,8,0.875,0,0,0.000,3,4,0.750,2,2,4,2,0,0,1,4,17,1.000
Wayne Ellington,,26:04,3,8,0.375,1,2,0.500,2,2,1.000,1,1,2,4,2,0,3,2,9,-14.000
Malcolm Lee,,17:51,2,4,0.500,0,1,0.000,2,2,1.000,0,0,0,1,1,0,2,2,6,-11.000
Derrick Williams,,21:10,3,10,0.300,1,3,0.333,1,2,0.500,1,2,3,0,1,2,1,1,8,-3.000
Anthony Tolliver,,24:00,2,4,0.500,1,3,0.333,4,5,0.800,1,5,6,1,0,1,1,3,9,-11.000
SAC
Tyreke Evans,F,38:05,8,14,0.571,0,0,0.000,8,11,0.727,2,8,10,7,2,0,1,1,24,16.000
Jason Thompson,F,20:47,4,6,0.667,0,0,0.000,1,2,0.500,0,1,1,0,1,1,1,1,9,-8.000
DeMarcus Cousins,C,30:00,7,12,0.583,0,0,0.000,6,7,0.857,7,2,9,3,0,2,3,4,20,-6.000
Marcus Thornton,G,8:15,2,4,0.500,0,2,0.000,0,0,0.000,0,2,2,1,1,0,0,1,4,-5.000
Isaiah Thomas,G,26:41,6,13,0.462,3,7,0.429,2,2,1.000,0,0,0,5,1,0,0,1,17,-6.000
Terrence Williams,,31:58,5,11,0.455,0,2,0.000,2,2,1.000,2,10,12,3,2,0,2,3,12,14.000
Jimmer Fredette,,25:25,7,15,0.467,3,7,0.429,2,2,1.000,1,1,2,0,1,0,2,2,19,12.000
Hassan Whiteside,,12:43,2,2,1.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,2,4,17.000
Charles Hayes,,13:12,1,1,1.000,0,0,0.000,0,0,0.000,1,2,3,1,0,0,0,1,2,7.000
Francisco Garcia,,13:53,0,3,0.000,0,3,0.000,0,0,0.000,0,2,2,1,0,1,0,2,0,-4.000
Donte Greene,,19:01,1,4,0.250,1,2,0.500,2,2,1.000,0,3,3,1,0,1,2,3,5,3.000
