04-07,CLE-TOR,84-80,Team,
20-22,19-20,12-21,33-17,
CLE
Alonzo Gee,F,28:03,3,10,0.300,1,1,1.000,2,2,1.000,1,6,7,2,0,0,0,4,9,25.000
Antawn Jamison,F,39:21,8,16,0.500,3,5,0.600,6,8,0.750,1,7,8,1,0,2,1,1,25,8.000
Tristan Thompson,C,24:14,2,6,0.333,0,0,0.000,2,3,0.667,2,2,4,0,1,0,0,3,6,-4.000
Manny Harris,G,31:40,1,8,0.125,1,4,0.250,1,2,0.500,0,4,4,3,0,1,2,1,4,3.000
Donald Sloan,G,33:30,2,8,0.250,0,1,0.000,1,2,0.500,2,5,7,2,1,0,0,0,5,-10.000
Omri Casspi,,19:14,0,2,0.000,0,1,0.000,2,2,1.000,0,0,0,0,0,0,0,2,2,-21.000
Samardo Samuels,,23:22,3,6,0.500,0,0,0.000,4,8,0.500,3,4,7,1,1,0,2,4,10,9.000
Lester Hudson,,31:57,6,14,0.429,0,4,0.000,11,13,0.846,0,2,2,7,3,0,1,3,23,14.000
Luke Walton,,8:39,0,3,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-4.000
TOR
Alan Anderson,F,29:35,0,4,0.000,0,1,0.000,0,0,0.000,1,3,4,0,0,0,2,3,0,-13.000
Andrea Bargnani,F,35:44,8,22,0.364,1,5,0.200,2,4,0.500,1,6,7,2,2,0,0,3,19,-3.000
Aaron Gray,C,21:33,2,3,0.667,0,0,0.000,0,2,0.000,2,5,7,2,1,0,1,6,4,-5.000
DeMar DeRozan,G,38:05,10,16,0.625,1,2,0.500,7,8,0.875,0,4,4,4,0,1,4,5,28,1.000
Ben Uzoh,G,34:14,4,8,0.500,0,0,0.000,1,1,1.000,1,5,6,3,0,0,1,2,9,3.000
Linas Kleiza,,28:25,2,9,0.222,1,6,0.167,3,3,1.000,2,6,8,1,0,1,3,2,8,4.000
Ed Davis,,17:45,3,6,0.500,0,0,0.000,0,0,0.000,2,5,7,0,0,1,1,1,6,-6.000
Amir Johnson,,20:54,1,1,1.000,0,0,0.000,1,4,0.250,1,4,5,1,2,1,0,4,3,6.000
Justin Dentmon,,13:46,1,4,0.250,0,1,0.000,1,2,0.500,0,1,1,0,0,0,2,3,3,-7.000
