04-19,HOU-DAL,110-117,Team,
27-27,28-28,29-23,26-39,
HOU
Chandler Parsons,F,30:52,4,13,0.308,2,6,0.333,2,2,1.000,2,2,4,4,0,0,0,2,12,-6.000
Luis Scola,F,30:10,6,11,0.545,0,0,0.000,6,6,1.000,1,5,6,1,2,0,1,6,18,1.000
Marcus Camby,C,36:59,5,11,0.455,0,0,0.000,1,2,0.500,5,12,17,1,1,0,2,2,11,0.000
Courtney Lee,G,38:47,6,14,0.429,4,7,0.571,0,0,0.000,0,2,2,0,2,0,2,3,16,7.000
Goran Dragic,G,31:56,8,12,0.667,2,4,0.500,2,3,0.667,1,1,2,10,2,0,6,3,20,9.000
Patrick Patterson,,21:19,3,4,0.750,0,0,0.000,0,0,0.000,2,1,3,2,0,1,0,2,6,-11.000
Kyle Lowry,,18:35,4,9,0.444,2,5,0.400,1,1,1.000,0,0,0,5,0,0,1,5,11,-17.000
Chase Budinger,,25:07,6,10,0.600,2,6,0.333,0,1,0.000,0,3,3,0,0,0,0,1,14,-14.000
Samuel Dalembert,,6:16,1,2,0.500,0,0,0.000,0,0,0.000,2,2,4,0,0,0,0,0,2,-4.000
DAL
Shawn Marion,F,25:57,2,6,0.333,0,0,0.000,0,0,0.000,0,6,6,1,2,0,1,1,4,-18.000
Dirk Nowitzki,F,38:32,10,18,0.556,3,4,0.750,12,12,1.000,0,4,4,2,1,0,0,3,35,17.000
Brendan Haywood,C,14:52,1,4,0.250,0,0,0.000,1,2,0.500,3,1,4,0,0,0,1,0,3,-9.000
Delonte West,G,20:57,5,9,0.556,0,2,0.000,1,1,1.000,0,2,2,3,2,0,3,1,11,-11.000
Jason Kidd,G,34:53,4,7,0.571,4,7,0.571,0,0,0.000,0,3,3,8,0,0,1,1,12,1.000
Jason Terry,,32:41,6,11,0.545,3,6,0.500,4,5,0.800,1,3,4,3,0,0,3,3,19,14.000
Vince Carter,,29:32,8,18,0.444,1,6,0.167,6,6,1.000,3,1,4,3,1,0,1,1,23,20.000
Ian Mahinmi,,12:14,2,2,1.000,0,0,0.000,0,0,0.000,0,3,3,0,0,0,1,4,4,9.000
Rodrigue Beaubois,,9:38,1,2,0.500,0,1,0.000,0,0,0.000,0,4,4,1,0,0,1,2,2,5.000
Brandan Wright,,20:46,2,2,1.000,0,0,0.000,0,0,0.000,3,2,5,0,0,1,0,0,4,7.000
