04-26,LAC-NYK,93-99,Team,
19-24,20-24,27-26,27-25,
LAC
Caron Butler,F,33:13,3,8,0.375,3,6,0.500,0,0,0.000,1,2,3,1,1,1,4,3,9,15.000
Blake Griffin,F,41:13,11,14,0.786,0,1,0.000,7,14,0.500,3,7,10,6,2,0,1,4,29,5.000
DeAndre Jordan,C,29:15,2,4,0.500,0,0,0.000,1,2,0.500,2,8,10,0,0,0,0,1,5,-9.000
Eric Bledsoe,G,26:41,1,5,0.200,0,1,0.000,0,0,0.000,0,3,3,5,0,1,2,4,2,13.000
Randy Foye,G,43:03,9,23,0.391,4,12,0.333,6,7,0.857,1,4,5,4,3,0,1,2,28,1.000
Mo Williams,,26:16,3,9,0.333,3,4,0.750,0,0,0.000,1,2,3,3,0,0,3,0,9,-26.000
Nick Young,,14:47,2,4,0.500,1,1,1.000,0,0,0.000,0,0,0,0,0,0,1,2,5,-21.000
Kenyon Martin,,21:48,2,2,1.000,0,0,0.000,0,2,0.000,1,4,5,0,0,1,1,3,4,-3.000
Reggie Evans,,3:44,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,1,2,-5.000
NYK
Carmelo Anthony,F,28:20,7,16,0.438,0,2,0.000,3,4,0.750,0,6,6,3,1,0,1,1,17,0.000
Tyson Chandler,C,31:58,2,4,0.500,0,0,0.000,7,10,0.700,2,3,5,0,1,1,2,2,11,1.000
Baron Davis,G,18:42,5,10,0.500,2,5,0.400,0,0,0.000,0,0,0,1,1,0,1,0,12,-9.000
Iman Shumpert,G,24:08,3,5,0.600,0,1,0.000,0,0,0.000,2,5,7,2,1,0,0,1,6,-1.000
J.R. Smith,,30:17,7,13,0.538,3,7,0.429,4,4,1.000,1,1,2,5,4,0,2,3,21,13.000
Steve Novak,,26:31,4,8,0.500,4,7,0.571,2,2,1.000,0,3,3,0,1,0,0,3,14,14.000
Dan Gadzuric,,7:34,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,2,0,-2.000
Mike Bibby,,21:09,0,4,0.000,0,2,0.000,0,0,0.000,0,1,1,5,0,0,0,1,0,11.000
Landry Fields,,22:23,4,8,0.500,0,0,0.000,0,1,0.000,1,2,3,1,0,0,0,1,8,2.000
