05-02,PHI-CHI,109-92,Playoff,
25-28,22-27,36-14,26-23,
PHI
Andre Iguodala,F,32:48,5,12,0.417,1,3,0.333,0,1,0.000,0,5,5,3,1,1,2,2,11,15.000
Elton Brand,F,28:58,5,6,0.833,0,0,0.000,2,2,1.000,1,4,5,0,0,3,0,1,12,10.000
Spencer Hawes,C,17:57,1,3,0.333,0,0,0.000,0,0,0.000,1,2,3,0,1,1,1,3,2,11.000
Evan Turner,G,41:42,8,15,0.533,0,1,0.000,3,3,1.000,2,5,7,6,0,0,3,4,19,13.000
Jrue Holiday,G,40:55,11,15,0.733,3,3,1.000,1,2,0.500,0,2,2,6,1,0,0,2,26,12.000
Lavoy Allen,,25:54,5,7,0.714,0,0,0.000,1,1,1.000,2,7,9,0,1,2,0,2,11,12.000
Thaddeus Young,,23:11,3,6,0.500,0,0,0.000,2,2,1.000,1,5,6,2,1,0,1,3,8,1.000
Lou Williams,,27:26,8,13,0.615,1,5,0.200,3,4,0.750,0,1,1,6,2,0,0,1,20,11.000
Jodie Meeks,,1:09,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
CHI
Luol Deng,F,33:29,3,12,0.250,1,3,0.333,1,2,0.500,1,4,5,3,0,2,1,1,8,-15.000
Carlos Boozer,F,28:46,4,10,0.400,0,0,0.000,1,2,0.500,1,4,5,1,1,0,2,3,9,-2.000
Joakim Noah,C,37:40,10,11,0.909,0,0,0.000,1,2,0.500,3,5,8,5,1,0,0,1,21,-6.000
Richard Hamilton,G,22:05,4,10,0.400,0,0,0.000,2,2,1.000,0,0,0,5,0,0,0,1,10,-16.000
CJ Watson,G,28:52,4,11,0.364,2,4,0.500,2,2,1.000,0,2,2,3,0,0,1,1,12,-13.000
Taj Gibson,,19:14,3,9,0.333,0,0,0.000,2,4,0.500,3,2,5,0,0,0,0,3,8,-15.000
Omer Asik,,7:39,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,0,0,-7.000
John Lucas III,,25:55,7,12,0.583,1,3,0.333,0,0,0.000,0,1,1,4,0,0,1,1,15,-1.000
Ronnie Brewer,,12:36,1,5,0.200,0,0,0.000,0,2,0.000,2,2,4,0,0,0,2,0,2,-13.000
Kyle Korver,,23:44,2,4,0.500,2,4,0.500,1,2,0.500,0,0,0,1,1,2,1,0,7,3.000
