05-11,LAL-DEN,96-113,Playoff,
20-30,25-24,23-36,28-23,
LAL
Devin Ebanks,F,15:48,4,9,0.444,0,2,0.000,2,2,1.000,1,1,2,0,1,0,0,0,10,-1.000
Pau Gasol,F,28:54,1,10,0.100,0,0,0.000,1,2,0.500,1,2,3,1,1,1,0,2,3,-29.000
Andrew Bynum,C,29:53,4,11,0.364,0,0,0.000,3,5,0.600,6,10,16,3,0,4,0,0,11,-22.000
Kobe Bryant,G,37:03,13,23,0.565,1,4,0.250,4,4,1.000,0,2,2,4,1,0,3,3,31,-28.000
Ramon Sessions,G,29:27,4,9,0.444,0,1,0.000,6,8,0.750,0,2,2,3,0,0,1,3,14,-23.000
Matt Barnes,,25:12,2,8,0.250,1,4,0.250,1,2,0.500,1,4,5,3,0,1,2,3,6,-9.000
Jordan Hill,,27:39,3,6,0.500,0,0,0.000,2,2,1.000,4,2,6,1,0,0,3,2,8,3.000
Steve Blake,,24:29,1,3,0.333,1,2,0.500,0,0,0.000,0,1,1,4,2,0,0,2,3,-7.000
Christian Eyenga,,6:55,1,2,0.500,0,0,0.000,0,1,0.000,0,1,1,1,1,1,0,1,2,11.000
Troy Murphy,,6:24,1,1,1.000,1,1,1.000,0,0,0.000,0,2,2,0,0,0,0,0,3,9.000
Darius Morris,,5:06,1,1,1.000,0,0,0.000,3,4,0.750,0,0,0,2,0,0,1,0,5,6.000
Josh McRoberts,,3:10,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,1,1,0,5.000
DEN
Danilo Gallinari,F,27:42,5,13,0.385,2,6,0.333,0,0,0.000,1,3,4,7,1,1,0,3,12,27.000
Kenneth Faried,F,27:53,6,11,0.545,0,0,0.000,3,3,1.000,4,7,11,0,1,2,3,3,15,14.000
Timofey Mozgov,C,23:30,3,5,0.600,0,0,0.000,2,4,0.500,1,3,4,2,0,1,0,3,8,16.000
Arron Afflalo,G,35:45,3,5,0.600,0,1,0.000,0,0,0.000,0,5,5,7,0,0,0,3,6,26.000
Ty Lawson,G,30:14,13,18,0.722,5,6,0.833,1,3,0.333,0,5,5,6,0,1,0,0,32,22.000
JaVale McGee,,20:21,1,5,0.200,0,0,0.000,0,0,0.000,1,4,5,0,0,1,0,5,2,-1.000
Al Harrington,,21:45,1,8,0.125,0,3,0.000,2,6,0.333,0,4,4,0,0,0,1,0,4,6.000
Andre Miller,,24:15,5,10,0.500,1,1,1.000,1,1,1.000,2,2,4,2,1,1,5,3,12,-7.000
Corey Brewer,,18:50,8,12,0.667,2,3,0.667,0,0,0.000,0,3,3,2,2,1,0,0,18,-7.000
Jordan Hamilton,,3:37,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,1,0,1,1,2,-5.000
Julyan Stone,,3:37,1,2,0.500,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,-5.000
Kosta Koufos,,2:31,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,1,0,-1.000
