06-15,MIA-OKC,100-96,Playoff,
27-15,28-28,23-24,22-29,
MIA
LeBron James,F,42:19,10,22,0.455,0,2,0.000,12,12,1.000,2,6,8,5,1,0,2,4,32,6.000
Shane Battier,F,41:50,6,8,0.750,5,7,0.714,0,0,0.000,0,1,1,1,0,0,0,3,17,5.000
Chris Bosh,C,40:23,6,13,0.462,0,1,0.000,4,5,0.800,7,8,15,1,1,2,2,3,16,11.000
Dwyane Wade,G,39:28,10,20,0.500,0,0,0.000,4,6,0.667,1,5,6,5,0,1,3,2,24,10.000
Mario Chalmers,G,39:30,1,7,0.143,1,3,0.333,0,0,0.000,0,4,4,1,3,0,3,2,3,6.000
Udonis Haslem,,16:22,1,2,0.500,0,0,0.000,0,0,0.000,1,3,4,0,0,1,2,3,2,-10.000
James Jones,,5:35,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,-3.000
Norris Cole,,13:17,1,3,0.333,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,3,2,-4.000
Mike Miller,,1:17,0,0,0.000,0,0,0.000,2,2,1.000,0,1,1,0,0,0,0,1,2,-1.000
OKC
Kevin Durant,F,38:37,12,22,0.545,4,10,0.400,4,6,0.667,0,3,3,1,2,1,2,5,32,-9.000
Serge Ibaka,F,29:21,2,5,0.400,0,0,0.000,3,4,0.750,2,2,4,1,0,5,0,2,7,-15.000
Kendrick Perkins,C,19:36,1,5,0.200,0,0,0.000,2,2,1.000,4,4,8,0,0,1,3,3,4,-16.000
Thabo Sefolosha,G,37:21,1,5,0.200,1,3,0.333,0,0,0.000,2,3,5,2,2,2,1,2,3,-3.000
Russell Westbrook,G,41:41,10,26,0.385,2,6,0.333,5,7,0.714,2,6,8,7,1,0,2,3,27,-11.000
James Harden,,34:53,7,11,0.636,2,3,0.667,5,7,0.714,0,4,4,2,1,0,2,3,21,13.000
Nick Collison,,14:32,0,0,0.000,0,0,0.000,0,0,0.000,0,3,3,1,1,0,0,3,0,8.000
Derek Fisher,,23:60,1,5,0.200,0,4,0.000,0,0,0.000,0,1,1,0,2,0,0,1,2,13.000
