01-03,PHX-PHI,95-89,Team,
31-24,17-25,27-17,20-23,
PHX
Evan Turner,F,33:57,6,16,0.375,0,2,0.000,1,2,0.500,0,2,2,1,2,0,3,4,13,-4.000
Thaddeus Young,F,35:55,6,10,0.600,0,0,0.000,2,2,1.000,2,8,10,2,2,0,0,4,14,-10.000
Lavoy Allen,C,35:27,5,11,0.455,0,0,0.000,0,0,0.000,3,6,9,2,0,0,0,1,10,4.000
Jason Richardson,G,18:36,2,4,0.500,0,1,0.000,0,0,0.000,0,2,2,0,0,0,1,1,4,-2.000
Jrue Holiday,G,38:46,6,16,0.375,1,3,0.333,3,4,0.750,3,7,10,10,2,2,6,3,16,-3.000
Spencer Hawes,,24:13,3,11,0.273,0,1,0.000,0,0,0.000,2,5,7,3,0,1,3,2,6,-8.000
Dorell Wright,,29:32,6,9,0.667,2,4,0.500,0,0,0.000,0,3,3,2,0,0,2,2,14,-2.000
Nick Young,,19:56,3,7,0.429,2,3,0.667,4,4,1.000,0,0,0,1,1,0,1,0,12,2.000
Royal Ivey,,3:38,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,1,0,-7.000
PHI
PJ Tucker,F,29:46,5,10,0.500,0,1,0.000,0,0,0.000,1,5,6,0,1,0,1,3,10,9.000
Luis Scola,F,33:41,7,14,0.500,0,0,0.000,7,8,0.875,1,3,4,9,2,1,2,5,21,14.000
Marcin Gortat,C,35:26,5,8,0.625,0,0,0.000,1,1,1.000,2,12,14,3,2,1,2,2,11,25.000
Jared Dudley,G,35:03,3,8,0.375,1,3,0.333,1,2,0.500,1,2,3,1,2,0,1,0,8,22.000
Goran Dragic,G,41:16,7,13,0.538,1,4,0.250,5,9,0.556,2,2,4,6,1,3,1,4,20,17.000
Shannon Brown,,24:33,6,12,0.500,0,2,0.000,0,0,0.000,2,1,3,2,1,0,3,0,12,-10.000
Markieff Morris,,14:19,4,8,0.500,1,2,0.500,0,0,0.000,2,2,4,1,0,1,0,1,9,-8.000
Michael Beasley,,6:44,1,4,0.250,0,0,0.000,0,0,0.000,1,3,4,0,0,1,0,0,2,-11.000
Sebastian Telfair,,6:52,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,1,1,0,1,0,0,-13.000
