01-05,IND-BOS,75-94,Team,
16-15,19-32,16-22,24-25,
IND
Paul George,F,31:52,4,18,0.222,0,5,0.000,1,3,0.333,2,5,7,4,3,0,3,2,9,-12.000
David West,F,28:30,4,18,0.222,0,1,0.000,2,2,1.000,3,7,10,1,2,1,3,0,10,-17.000
Roy Hibbert,C,24:24,3,6,0.500,0,0,0.000,1,2,0.500,2,8,10,0,0,1,3,2,7,-17.000
Lance Stephenson,G,30:19,1,6,0.167,1,3,0.333,2,4,0.500,2,1,3,3,2,1,1,0,5,-14.000
D.J. Augustin,G,29:31,2,4,0.500,1,1,1.000,1,1,1.000,0,1,1,4,0,0,2,2,6,-9.000
Tyler Hansbrough,,22:56,7,11,0.636,0,0,0.000,5,8,0.625,2,2,4,0,1,0,2,2,19,-2.000
Gerald Green,,21:49,1,8,0.125,0,4,0.000,1,2,0.500,0,2,2,2,0,1,0,2,3,-10.000
Ian Mahinmi,,17:42,2,5,0.400,0,0,0.000,0,2,0.000,3,1,4,0,0,2,2,3,4,-2.000
Ben Hansbrough,,18:29,1,4,0.250,1,2,0.500,2,2,1.000,0,3,3,0,0,0,2,0,5,-10.000
Orlando Johnson,,12:00,2,3,0.667,1,1,1.000,2,2,1.000,1,1,2,0,0,1,0,1,7,-1.000
Jeff Ayres,,2:28,0,2,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,1,0,-1.000
BOS
Paul Pierce,F,28:59,5,10,0.500,2,3,0.667,1,3,0.333,1,5,6,5,1,1,1,2,13,20.000
Brandon Bass,F,22:28,1,5,0.200,0,0,0.000,2,2,1.000,2,6,8,1,1,2,3,4,4,-1.000
Kevin Garnett,C,24:08,8,16,0.500,0,0,0.000,2,2,1.000,1,6,7,2,1,0,2,5,18,8.000
Avery Bradley,G,22:42,3,11,0.273,0,2,0.000,0,0,0.000,0,1,1,1,1,1,0,1,6,9.000
Rajon Rondo,G,29:39,9,14,0.643,0,0,0.000,0,2,0.000,0,5,5,7,2,1,3,0,18,15.000
Jason Collins,,15:24,0,0,0.000,0,0,0.000,1,2,0.500,2,0,2,0,0,1,0,3,1,15.000
Jared Sullinger,,29:43,2,7,0.286,0,0,0.000,3,6,0.500,4,6,10,1,0,1,2,6,7,17.000
Jeff Green,,19:01,1,4,0.250,0,0,0.000,0,0,0.000,0,2,2,1,0,1,1,3,2,-1.000
Jason Terry,,14:38,2,8,0.250,1,3,0.333,1,1,1.000,0,2,2,1,1,0,0,0,6,3.000
Courtney Lee,,23:05,6,9,0.667,1,1,1.000,0,0,0.000,2,3,5,2,1,0,1,2,13,13.000
Leandro Barbosa,,5:56,3,4,0.750,0,0,0.000,0,0,0.000,0,0,0,0,1,0,1,2,6,-2.000
Jarvis Varnado,,4:17,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,0,0,-1.000
