01-06,NOH-DAL,99-96,Team,
25-23,15-24,23-20,26-22,10-7,
NOH
Anthony Davis,F,12:09,1,3,0.333,0,0,0.000,2,2,1.000,0,1,1,0,0,0,1,3,4,-5.000
Robin Lopez,C,28:14,4,8,0.500,0,0,0.000,1,2,0.500,1,5,6,1,1,0,0,0,9,-4.000
Eric Gordon,G,29:51,1,9,0.111,0,2,0.000,4,4,1.000,0,2,2,4,1,2,2,2,6,-8.000
Greivis Vasquez,G,35:36,11,17,0.647,3,5,0.600,0,2,0.000,0,7,7,9,1,0,1,2,25,8.000
Ryan Anderson,,32:58,6,15,0.400,4,7,0.571,0,0,0.000,1,5,6,2,0,0,1,0,16,1.000
Brian Roberts,,7:33,1,5,0.200,0,1,0.000,1,1,1.000,0,0,0,0,0,0,1,0,3,-7.000
Austin Rivers,,18:09,1,5,0.200,0,2,0.000,0,0,0.000,1,0,1,2,1,0,0,0,2,8.000
Jason Smith,,22:40,5,8,0.625,0,0,0.000,0,0,0.000,1,5,6,1,0,0,1,0,10,8.000
Lance Thomas,,14:10,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,-1.000
Roger Mason Jr.,,5:10,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,1,0,0,0,0,2,-1.000
DAL
Dirk Nowitzki,F,29:05,7,15,0.467,2,3,0.667,4,6,0.667,0,3,3,2,1,0,2,2,20,1.000
Shawn Marion,F,29:38,3,11,0.273,0,2,0.000,0,0,0.000,3,6,9,4,0,0,1,3,6,4.000
Chris Kaman,C,19:34,2,3,0.667,0,0,0.000,0,0,0.000,0,5,5,1,0,2,2,1,4,-1.000
O.J. Mayo,G,29:42,4,13,0.308,0,4,0.000,3,3,1.000,1,3,4,0,1,0,1,4,11,1.000
Darren Collison,G,33:23,5,7,0.714,0,0,0.000,2,2,1.000,0,5,5,4,1,0,2,1,12,5.000
Vince Carter,,30:38,5,8,0.625,3,4,0.750,2,2,1.000,1,4,5,2,2,2,1,1,15,-1.000
Dahntay Jones,,13:01,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,0,0,-3.000
Rodrigue Beaubois,,14:37,3,5,0.600,0,0,0.000,0,0,0.000,0,2,2,4,0,0,0,1,6,-5.000
Elton Brand,,28:08,6,10,0.600,0,0,0.000,0,0,0.000,0,3,3,0,0,5,0,4,12,1.000
Jae Crowder,,12:15,1,3,0.333,1,2,0.500,0,0,0.000,1,0,1,2,0,0,0,0,3,-2.000
