01-08,ORL-POR,119-125,Team,
24-25,33-23,28-37,23-23,11-17,
ORL
DeQuan Jones,F,18:34,3,6,0.500,0,1,0.000,0,0,0.000,0,0,0,0,0,1,1,0,6,-14.000
Andrew Nicholson,F,16:44,3,5,0.600,0,0,0.000,2,2,1.000,2,4,6,0,1,0,1,4,8,-1.000
Nikola Vucevic,C,42:42,7,15,0.467,0,0,0.000,1,1,1.000,2,10,12,5,0,1,2,4,15,1.000
Arron Afflalo,G,41:38,9,16,0.563,1,3,0.333,5,6,0.833,1,4,5,3,0,0,1,0,24,5.000
Jameer Nelson,G,42:37,6,18,0.333,2,9,0.222,5,6,0.833,1,2,3,9,1,0,1,5,19,1.000
JJ Redick,,27:51,9,12,0.750,5,7,0.714,1,1,1.000,0,1,1,5,0,1,1,1,24,11.000
Josh McRoberts,,34:08,3,5,0.600,2,3,0.667,2,2,1.000,0,5,5,7,0,1,2,3,10,4.000
Ish Smith,,5:23,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,2,0,0,1,0,-1.000
Hedo Turkoglu,,5:18,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-1.000
Maurice Harkless,,5:05,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,-5.000
POR
Nicolas Batum,F,40:00,5,12,0.417,2,5,0.400,2,2,1.000,0,4,4,9,1,1,2,1,14,7.000
LaMarcus Aldridge,F,37:22,11,19,0.579,0,0,0.000,0,0,0.000,1,7,8,4,0,0,2,1,22,2.000
JJ Hickson,C,38:43,8,13,0.615,0,0,0.000,2,3,0.667,5,9,14,2,0,1,1,2,18,6.000
Wesley Matthews,G,37:15,6,10,0.600,4,7,0.571,4,4,1.000,0,3,3,4,1,2,0,4,20,3.000
Damian Lillard,G,37:57,5,15,0.333,0,6,0.000,4,4,1.000,0,2,2,8,1,0,3,2,14,4.000
Joel Freeland,,6:46,1,1,1.000,0,0,0.000,0,0,0.000,3,2,5,0,0,0,0,2,2,-1.000
Victor Claver,,13:31,2,3,0.667,0,1,0.000,0,0,0.000,1,0,1,0,0,0,0,1,4,0.000
Luke Babbitt,,14:34,2,5,0.400,2,4,0.500,0,0,0.000,0,1,1,0,1,0,1,0,6,-12.000
Ronnie Price,,13:52,3,7,0.429,0,1,0.000,2,2,1.000,0,2,2,3,1,0,0,0,8,-9.000
