01-11,NYK-IND,76-81,Team,
14-16,20-23,26-19,16-23,
NYK
Chris Copeland,F,21:36,3,9,0.333,0,3,0.000,2,2,1.000,3,3,6,0,0,0,3,2,8,-8.000
Marcus Camby,F,19:34,3,9,0.333,0,0,0.000,1,1,1.000,2,3,5,0,0,1,0,1,7,-4.000
Tyson Chandler,C,38:29,5,10,0.500,0,0,0.000,2,3,0.667,8,7,15,0,0,3,2,3,12,-4.000
Ronnie Brewer,G,7:48,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-1.000
Jason Kidd,G,31:00,3,10,0.300,2,9,0.222,0,0,0.000,1,3,4,3,1,0,5,3,8,-5.000
J.R. Smith,,40:12,10,29,0.345,1,4,0.250,4,5,0.800,1,2,3,6,1,0,2,2,25,-4.000
Pablo Prigioni,,19:33,0,2,0.000,0,1,0.000,0,0,0.000,0,2,2,4,0,0,0,2,0,5.000
Steve Novak,,24:22,1,4,0.250,1,3,0.333,0,0,0.000,0,5,5,0,0,0,0,1,3,-6.000
Kurt Thomas,,15:55,2,5,0.400,0,0,0.000,0,0,0.000,1,2,3,0,0,2,0,1,4,2.000
IND
Paul George,F,43:42,10,24,0.417,2,8,0.250,2,2,1.000,3,8,11,5,6,1,1,3,24,4.000
David West,F,34:26,3,11,0.273,0,1,0.000,0,0,0.000,1,4,5,2,1,2,3,2,6,-8.000
Roy Hibbert,C,18:52,1,4,0.250,0,0,0.000,2,4,0.500,0,3,3,0,0,2,0,2,4,-3.000
Lance Stephenson,G,35:45,3,6,0.500,1,2,0.500,2,2,1.000,1,6,7,4,0,0,1,2,9,-7.000
George Hill,G,34:04,2,6,0.333,1,5,0.200,1,1,1.000,0,4,4,4,0,0,2,1,6,10.000
Gerald Green,,16:33,3,8,0.375,1,5,0.200,0,0,0.000,1,5,6,1,0,0,2,1,7,13.000
Tyler Hansbrough,,13:34,1,8,0.125,0,0,0.000,4,4,1.000,3,1,4,0,1,0,0,2,6,13.000
D.J. Augustin,,13:56,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-5.000
Ian Mahinmi,,20:09,6,7,0.857,0,0,0.000,1,1,1.000,2,4,6,0,0,0,1,4,13,8.000
Jeff Ayres,,8:59,2,5,0.400,0,0,0.000,2,2,1.000,1,0,1,0,0,0,0,2,6,0.000
