01-22,HOU-CHA,100-94,Team,
22-30,23-26,29-25,26-13,
HOU
Chandler Parsons,F,36:19,5,8,0.625,2,3,0.667,2,2,1.000,1,6,7,5,1,1,0,2,14,-2.000
Patrick Patterson,F,8:27,0,3,0.000,0,1,0.000,0,0,0.000,1,3,4,0,0,0,1,1,0,3.000
Omer Asik,C,30:25,2,4,0.500,0,0,0.000,2,5,0.400,1,7,8,0,1,0,3,5,6,-3.000
James Harden,G,41:27,5,20,0.250,0,5,0.000,19,21,0.905,2,5,7,7,2,0,4,2,29,-1.000
Jeremy Lin,G,24:11,1,5,0.200,0,0,0.000,2,2,1.000,0,2,2,3,1,0,2,2,4,-11.000
Marcus Morris,,32:59,7,12,0.583,3,7,0.429,4,6,0.667,1,7,8,2,1,2,0,2,21,9.000
Cole Aldrich,,17:36,0,2,0.000,0,0,0.000,0,0,0.000,2,3,5,0,1,0,0,4,0,9.000
Patrick Beverley,,23:49,3,6,0.500,2,5,0.400,2,3,0.667,2,1,3,2,0,0,2,3,10,17.000
Carlos Delfino,,24:48,6,14,0.429,3,8,0.375,1,2,0.500,1,2,3,1,0,0,1,2,16,9.000
CHA
Hakim Warrick,F,24:15,4,9,0.444,0,1,0.000,2,2,1.000,1,2,3,2,0,0,2,2,10,0.000
Bismack Biyombo,C,35:41,1,5,0.200,0,0,0.000,0,0,0.000,4,5,9,0,1,7,1,4,2,3.000
Gerald Henderson,G,26:18,3,11,0.273,0,2,0.000,2,2,1.000,0,4,4,1,1,0,2,5,8,0.000
Kemba Walker,G,39:10,12,21,0.571,6,7,0.857,5,6,0.833,2,1,3,5,1,0,4,3,35,4.000
Jeff Adrien,,14:23,0,3,0.000,0,0,0.000,2,2,1.000,0,2,2,0,0,1,0,0,2,-6.000
Jeff Taylor,,16:32,3,5,0.600,0,0,0.000,1,2,0.500,0,1,1,2,2,0,0,3,7,6.000
Ramon Sessions,,29:28,6,15,0.400,0,3,0.000,7,8,0.875,0,8,8,5,0,0,1,1,19,-16.000
Ben Gordon,,8:28,0,4,0.000,0,2,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-9.000
Brendan Haywood,,12:08,1,1,1.000,0,0,0.000,0,0,0.000,1,2,3,0,0,1,0,3,2,-9.000
Tyrus Thomas,,9:22,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,1,0,0.000
