01-27,HOU-BKN,119-106,Team,
28-29,34-20,27-31,30-26,
HOU
Gerald Wallace,F,21:48,4,10,0.400,1,4,0.250,2,2,1.000,0,4,4,0,2,0,1,1,11,-3.000
Reggie Evans,F,25:27,0,4,0.000,0,0,0.000,1,2,0.500,2,6,8,0,1,0,1,3,1,-17.000
Brook Lopez,C,32:55,6,13,0.462,0,0,0.000,9,10,0.900,4,3,7,0,0,5,0,3,21,-5.000
Joe Johnson,G,37:16,5,14,0.357,3,7,0.429,0,0,0.000,0,3,3,6,0,2,1,1,13,-14.000
Deron Williams,G,41:29,10,15,0.667,5,9,0.556,2,2,1.000,0,4,4,11,2,2,4,3,27,-6.000
Andray Blatche,,6:23,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,1,0,0,-6.000
Keith Bogans,,22:28,2,6,0.333,2,6,0.333,0,0,0.000,0,3,3,0,0,1,0,3,6,-8.000
Kris Humphries,,11:12,1,1,1.000,0,0,0.000,2,2,1.000,0,0,0,0,0,0,0,1,4,1.000
Jerry Stackhouse,,8:14,2,3,0.667,1,2,0.500,1,2,0.500,0,0,0,0,0,0,0,0,6,-8.000
CJ Watson,,19:31,3,6,0.500,2,5,0.400,0,0,0.000,0,1,1,3,1,0,1,3,8,-10.000
Mirza Teletovic,,12:10,3,7,0.429,2,3,0.667,1,1,1.000,1,0,1,0,1,0,1,2,9,10.000
MarShon Brooks,,1:07,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
BKN
Chandler Parsons,F,39:56,7,11,0.636,2,5,0.400,0,0,0.000,1,5,6,11,1,1,1,3,16,28.000
Patrick Patterson,F,22:55,3,7,0.429,0,1,0.000,1,1,1.000,0,2,2,1,0,0,1,2,7,13.000
Omer Asik,C,31:19,9,12,0.750,0,0,0.000,2,6,0.333,6,10,16,1,0,0,2,5,20,7.000
James Harden,G,34:02,7,15,0.467,2,5,0.400,13,14,0.929,1,2,3,7,2,1,0,1,29,0.000
Jeremy Lin,G,34:56,5,14,0.357,2,4,0.500,2,2,1.000,0,5,5,9,1,1,6,2,14,15.000
Toney Douglas,,11:57,2,5,0.400,2,3,0.667,0,0,0.000,1,1,2,0,0,0,0,2,6,-1.000
Greg Smith,,15:34,3,3,1.000,0,0,0.000,3,4,0.750,0,1,1,1,0,0,0,0,9,7.000
Carlos Delfino,,27:48,5,9,0.556,3,5,0.600,0,0,0.000,0,5,5,0,2,0,1,2,13,5.000
Marcus Morris,,18:04,2,9,0.222,1,4,0.250,0,0,0.000,5,5,10,1,0,0,0,1,5,-3.000
Patrick Beverley,,1:15,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-4.000
Cole Aldrich,,1:07,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
James Anderson,,1:07,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
