02-02,CLE-DET,99-117,Team,
16-24,31-30,21-31,31-32,
CLE
Alonzo Gee,F,21:06,1,7,0.143,0,0,0.000,2,2,1.000,0,2,2,0,0,0,1,3,4,-16.000
Tristan Thompson,F,28:31,9,11,0.818,0,1,0.000,1,2,0.500,1,8,9,1,0,0,1,2,19,-19.000
Tyler Zeller,C,16:49,1,5,0.200,0,0,0.000,0,0,0.000,2,0,2,0,0,0,0,4,2,-14.000
Dion Waiters,G,22:09,2,7,0.286,0,2,0.000,2,4,0.500,1,2,3,1,1,0,4,3,6,-16.000
Kyrie Irving,G,29:38,4,10,0.400,1,3,0.333,5,5,1.000,1,1,2,5,2,0,3,3,14,-20.000
Marreese Speights,,29:11,6,15,0.400,1,2,0.500,4,4,1.000,1,7,8,3,0,2,1,4,17,-8.000
Shaun Livingston,,25:37,3,7,0.429,0,0,0.000,2,2,1.000,1,1,2,6,0,3,4,6,8,1.000
CJ Miles,,21:29,4,10,0.400,1,4,0.250,3,3,1.000,1,3,4,3,2,1,0,2,12,5.000
Kevin Jones,,21:29,2,6,0.333,0,0,0.000,0,0,0.000,5,4,9,0,0,0,0,5,4,5.000
Wayne Ellington,,22:44,3,9,0.333,3,7,0.429,4,4,1.000,0,1,1,0,0,0,1,1,13,-5.000
Omri Casspi,,1:17,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
DET
Kyle Singler,F,36:41,9,17,0.529,1,4,0.250,1,2,0.500,4,4,8,1,2,3,2,5,20,16.000
Jason Maxiell,F,23:21,4,8,0.500,0,0,0.000,1,2,0.500,3,2,5,1,2,0,0,2,9,16.000
Greg Monroe,C,35:39,7,16,0.438,0,0,0.000,4,8,0.500,4,12,16,4,1,2,1,2,18,21.000
Rodney Stuckey,G,35:06,5,8,0.625,0,1,0.000,4,4,1.000,0,2,2,0,1,0,2,2,14,19.000
Brandon Knight,G,31:55,7,14,0.500,2,4,0.500,4,6,0.667,0,6,6,10,2,1,1,3,20,29.000
Andre Drummond,,18:11,4,4,1.000,0,0,0.000,1,5,0.200,1,4,5,0,0,1,1,0,9,-9.000
Will Bynum,,16:22,4,5,0.800,0,0,0.000,3,6,0.500,0,0,0,8,0,0,2,5,11,-8.000
Kim English,,16:11,0,2,0.000,0,2,0.000,0,0,0.000,1,3,4,1,0,0,1,1,0,-4.000
Charlie Villanueva,,17:44,3,5,0.600,1,3,0.333,3,8,0.375,0,3,3,2,0,4,1,0,10,4.000
Jonas Jerebko,,6:28,1,3,0.333,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,-1.000
Khris Middleton,,1:17,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,3.000
Viacheslav Kravtsov,,1:05,0,0,0.000,0,0,0.000,2,2,1.000,0,0,0,0,0,0,0,0,2,4.000
