02-03,SAC-NYK,81-120,Team,
22-25,11-31,19-41,29-23,
SAC
Francisco Garcia,F,21:54,0,3,0.000,0,3,0.000,0,0,0.000,0,1,1,0,0,0,1,1,0,-21.000
John Salmons,F,23:49,1,5,0.200,1,2,0.500,0,0,0.000,0,0,0,1,0,0,3,3,3,-27.000
DeMarcus Cousins,C,32:57,10,14,0.714,0,1,0.000,5,5,1.000,1,8,9,1,1,0,3,2,25,-34.000
Tyreke Evans,G,30:32,3,10,0.300,0,0,0.000,1,2,0.500,1,3,4,4,1,1,3,1,7,-30.000
Isaiah Thomas,G,35:49,3,13,0.231,2,7,0.286,0,0,0.000,0,4,4,6,1,0,1,2,8,-7.000
Jason Thompson,,15:55,2,4,0.500,0,0,0.000,0,0,0.000,1,3,4,0,1,0,1,0,4,-2.000
Jimmer Fredette,,23:00,6,8,0.750,2,3,0.667,0,0,0.000,0,2,2,1,0,0,2,2,14,-19.000
Marcus Thornton,,8:29,1,5,0.200,1,3,0.333,0,0,0.000,0,1,1,0,1,0,1,2,3,-21.000
Charles Hayes,,3:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,1,0,0,-11.000
Thomas Robinson,,25:58,4,8,0.500,0,0,0.000,3,4,0.750,2,2,4,0,1,1,2,1,11,-12.000
Travis Outlaw,,18:35,2,6,0.333,0,2,0.000,2,4,0.500,0,1,1,1,1,0,0,1,6,-11.000
NYK
Carmelo Anthony,F,27:20,4,12,0.333,1,6,0.167,0,0,0.000,0,3,3,5,1,0,1,2,9,25.000
Iman Shumpert,F,17:41,2,6,0.333,1,3,0.333,1,2,0.500,1,1,2,3,0,0,0,1,6,25.000
Tyson Chandler,C,29:25,4,8,0.500,0,0,0.000,3,4,0.750,8,12,20,2,1,0,3,4,11,26.000
Raymond Felton,G,26:29,3,8,0.375,1,4,0.250,0,0,0.000,1,1,2,8,0,1,4,1,7,19.000
Jason Kidd,G,15:34,2,5,0.400,1,3,0.333,0,0,0.000,2,4,6,2,0,0,1,1,5,7.000
J.R. Smith,,21:56,9,16,0.563,7,14,0.500,0,0,0.000,0,6,6,4,2,0,0,2,25,36.000
Pablo Prigioni,,21:31,1,1,1.000,1,1,1.000,0,0,0.000,0,1,1,7,2,0,3,2,3,20.000
Steve Novak,,16:58,5,7,0.714,5,7,0.714,0,0,0.000,0,0,0,0,0,0,0,1,15,31.000
Kurt Thomas,,12:30,5,6,0.833,1,1,1.000,0,0,0.000,0,2,2,0,0,0,1,2,11,-4.000
James White,,12:00,1,1,1.000,0,0,0.000,0,2,0.000,0,2,2,1,1,0,2,0,2,-6.000
Chris Copeland,,9:45,1,5,0.200,1,3,0.333,2,2,1.000,1,1,2,2,0,0,1,2,5,-5.000
Ronnie Brewer,,8:10,0,1,0.000,0,1,0.000,0,2,0.000,0,0,0,0,1,0,0,0,0,-10.000
