02-11,POR-ORL,104-110,Team,
26-22,23-33,23-24,32-31,
POR
Nicolas Batum,F,38:39,6,12,0.500,4,6,0.667,3,3,1.000,1,7,8,6,0,1,5,0,19,-14.000
LaMarcus Aldridge,F,38:05,12,21,0.571,0,0,0.000,1,1,1.000,0,6,6,5,0,1,0,2,25,-9.000
JJ Hickson,C,30:44,5,6,0.833,0,0,0.000,1,1,1.000,2,5,7,0,0,0,2,2,11,-9.000
Wesley Matthews,G,36:18,6,12,0.500,4,9,0.444,1,2,0.500,1,4,5,3,1,0,0,2,17,-4.000
Damian Lillard,G,40:19,1,16,0.063,0,8,0.000,2,2,1.000,0,3,3,12,1,1,4,0,4,-4.000
Victor Claver,,14:04,2,3,0.667,0,1,0.000,0,0,0.000,0,1,1,0,0,0,2,2,4,8.000
Meyers Leonard,,8:17,2,2,1.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,2,4,-2.000
Nolan Smith,,7:41,2,2,1.000,0,0,0.000,2,2,1.000,0,0,0,1,0,0,0,0,6,-2.000
Will Barton,,6:59,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,0,2,-2.000
Luke Babbitt,,9:15,2,3,0.667,2,3,0.667,0,0,0.000,0,1,1,1,0,0,0,3,6,-3.000
Joel Freeland,,9:39,3,4,0.750,0,0,0.000,0,1,0.000,1,5,6,2,1,0,1,0,6,11.000
ORL
Maurice Harkless,F,30:13,2,5,0.400,0,0,0.000,0,0,0.000,1,3,4,0,0,0,0,0,4,-5.000
Andrew Nicholson,F,22:22,5,9,0.556,0,0,0.000,4,4,1.000,2,3,5,1,1,1,2,0,14,4.000
Nikola Vucevic,C,30:47,8,12,0.667,0,0,0.000,1,2,0.500,6,13,19,3,0,0,3,5,17,13.000
Arron Afflalo,G,31:45,5,12,0.417,1,1,1.000,3,4,0.750,1,1,2,3,1,0,0,1,14,4.000
Jameer Nelson,G,37:59,4,18,0.222,2,9,0.222,0,0,0.000,1,3,4,15,0,0,2,3,10,8.000
JJ Redick,,28:32,9,13,0.692,2,4,0.500,2,2,1.000,1,0,1,5,1,0,2,0,22,12.000
DeQuan Jones,,5:33,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,1.000
Gustavo Ayon,,31:38,8,14,0.571,0,0,0.000,0,3,0.000,3,8,11,6,1,1,1,5,16,8.000
Ish Smith,,0:08,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
