02-14,MIN-UTA,93-97,Team,
17-10,23-32,23-26,30-29,
MIN
Marvin Williams,F,15:48,0,1,0.000,0,0,0.000,0,0,0.000,0,7,7,0,0,1,0,1,0,-2.000
Paul Millsap,F,35:35,7,15,0.467,0,1,0.000,7,11,0.636,4,4,8,2,0,2,2,4,21,12.000
Al Jefferson,C,34:03,9,18,0.500,0,0,0.000,2,3,0.667,1,10,11,1,3,1,1,1,20,-7.000
Randy Foye,G,26:47,2,11,0.182,1,5,0.200,5,5,1.000,0,0,0,2,1,1,1,2,10,4.000
Jamaal Tinsley,G,15:36,1,2,0.500,1,1,1.000,0,0,0.000,0,2,2,2,0,0,1,0,3,-3.000
Derrick Favors,,20:03,3,6,0.500,0,0,0.000,1,2,0.500,2,4,6,1,0,2,0,5,7,-2.000
Earl Watson,,23:50,2,7,0.286,0,1,0.000,2,2,1.000,1,4,5,5,0,0,4,1,6,0.000
Alec Burks,,29:47,4,9,0.444,0,1,0.000,1,1,1.000,2,4,6,7,2,0,3,4,9,7.000
DeMarre Carroll,,24:34,5,9,0.556,0,2,0.000,1,1,1.000,2,3,5,0,0,1,0,2,11,0.000
Enes Kanter,,13:57,5,9,0.556,0,0,0.000,0,0,0.000,1,2,3,0,1,1,2,2,10,11.000
UTA
Mickael Gelabale,F,24:04,1,3,0.333,0,2,0.000,0,0,0.000,0,2,2,0,0,0,1,2,2,4.000
Derrick Williams,F,36:34,7,17,0.412,2,5,0.400,8,11,0.727,4,12,16,0,0,1,1,3,24,6.000
Nikola Pekovic,C,39:42,7,16,0.438,0,0,0.000,5,8,0.625,7,6,13,0,1,1,1,2,19,10.000
Luke Ridnour,G,37:20,7,15,0.467,2,6,0.333,2,2,1.000,1,2,3,2,0,0,1,6,18,14.000
Ricky Rubio,G,40:16,3,13,0.231,0,3,0.000,12,13,0.923,2,7,9,10,4,1,2,1,18,0.000
Alexey Shved,,10:32,0,4,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-16.000
Jose Juan Barea,,23:48,2,10,0.200,1,5,0.200,1,2,0.500,0,1,1,6,1,0,2,0,6,-3.000
Dante Cunningham,,19:46,2,6,0.333,0,0,0.000,2,2,1.000,0,2,2,0,2,0,1,4,6,-22.000
Greg Stiemsma,,7:58,0,1,0.000,0,0,0.000,0,0,0.000,0,3,3,0,0,0,0,1,0,-11.000
Chris Johnson,,0:01,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
