03-01,LAC-IND,99-91,Team,
26-25,23-22,27-22,23-22,
LAC
Caron Butler,F,22:09,1,9,0.111,0,6,0.000,0,0,0.000,1,0,1,0,0,0,0,1,2,0.000
Blake Griffin,F,36:20,7,10,0.700,0,0,0.000,4,5,0.800,2,12,14,2,0,0,1,5,18,6.000
DeAndre Jordan,C,9:35,2,3,0.667,0,0,0.000,0,0,0.000,1,0,1,0,1,2,1,2,4,1.000
Chauncey Billups,G,20:55,1,6,0.167,1,6,0.167,0,0,0.000,0,1,1,1,1,1,1,3,3,2.000
Chris Paul,G,34:46,11,18,0.611,1,3,0.333,6,6,1.000,1,5,6,8,1,0,2,1,29,-2.000
Lamar Odom,,28:25,2,8,0.250,0,3,0.000,2,4,0.500,1,2,3,1,1,1,1,4,6,-5.000
Jamal Crawford,,27:00,9,16,0.563,1,2,0.500,4,4,1.000,0,1,1,0,0,0,2,2,23,9.000
Matt Barnes,,25:56,1,3,0.333,0,2,0.000,0,0,0.000,1,2,3,1,1,0,0,4,2,5.000
Ronny Turiaf,,21:40,2,3,0.667,0,0,0.000,1,2,0.500,1,2,3,1,2,2,3,3,5,14.000
Eric Bledsoe,,13:14,3,4,0.750,1,1,1.000,0,0,0.000,1,2,3,4,1,0,0,1,7,10.000
IND
Paul George,F,42:27,7,18,0.389,4,11,0.364,2,2,1.000,0,4,4,5,2,1,4,2,20,0.000
David West,F,38:37,5,14,0.357,1,1,1.000,11,14,0.786,4,2,6,4,1,1,4,3,22,5.000
Ian Mahinmi,C,24:54,2,3,0.667,0,0,0.000,1,1,1.000,0,5,5,1,1,2,1,3,5,-5.000
Lance Stephenson,G,29:13,7,8,0.875,1,1,1.000,1,2,0.500,0,7,7,4,1,0,4,2,16,16.000
George Hill,G,37:52,4,12,0.333,2,7,0.286,2,4,0.500,3,1,4,1,0,0,0,4,12,3.000
Jeff Ayres,,14:56,1,3,0.333,0,0,0.000,0,0,0.000,3,4,7,0,1,0,2,3,2,-7.000
Danny Granger,,18:59,5,10,0.500,1,2,0.500,1,2,0.500,1,1,2,1,0,0,2,1,12,-25.000
D.J. Augustin,,10:37,0,2,0.000,0,2,0.000,0,0,0.000,0,0,0,1,0,0,0,1,0,-13.000
Tyler Hansbrough,,17:26,0,3,0.000,0,0,0.000,0,0,0.000,2,2,4,0,0,0,2,3,0,-9.000
Orlando Johnson,,4:59,1,2,0.500,0,1,0.000,0,0,0.000,1,0,1,1,0,0,1,0,2,-5.000
