03-07,BOS-IND,83-81,Team,
19-27,23-22,16-19,25-13,
BOS
Paul Pierce,F,33:48,4,15,0.267,2,4,0.500,3,3,1.000,2,6,8,4,1,1,3,3,13,5.000
Brandon Bass,F,19:57,2,6,0.333,0,0,0.000,0,0,0.000,1,5,6,0,0,1,2,2,4,-18.000
Kevin Garnett,C,30:19,7,10,0.700,1,1,1.000,3,4,0.750,1,9,10,2,0,2,2,4,18,11.000
Courtney Lee,G,32:28,2,7,0.286,0,0,0.000,2,2,1.000,1,3,4,0,3,0,0,3,6,-6.000
Avery Bradley,G,34:10,6,15,0.400,1,3,0.333,0,0,0.000,0,1,1,4,0,0,2,2,13,-3.000
Chris Wilcox,,16:59,3,3,1.000,0,0,0.000,0,0,0.000,2,1,3,0,3,0,1,1,6,-6.000
Jeff Green,,34:11,5,14,0.357,1,4,0.250,0,0,0.000,0,7,7,4,0,2,1,2,11,10.000
Jason Terry,,21:56,4,8,0.500,2,3,0.667,0,0,0.000,2,2,4,4,2,0,0,1,10,7.000
Jordan Crawford,,12:28,1,4,0.250,0,2,0.000,0,0,0.000,0,2,2,0,0,0,2,1,2,8.000
DJ White,,3:43,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,2,0,0,0,2.000
IND
Paul George,F,43:48,7,22,0.318,2,9,0.222,0,0,0.000,1,6,7,3,3,1,3,2,16,0.000
David West,F,38:49,4,10,0.400,0,0,0.000,3,4,0.750,4,12,16,4,1,1,4,1,11,5.000
Roy Hibbert,C,32:22,6,13,0.462,0,0,0.000,0,0,0.000,6,6,12,0,0,6,2,4,12,-3.000
Lance Stephenson,G,35:17,6,15,0.400,0,3,0.000,0,0,0.000,0,0,0,2,5,0,0,1,12,-4.000
George Hill,G,36:43,4,11,0.364,3,7,0.429,3,3,1.000,1,3,4,2,0,1,2,0,14,4.000
Ian Mahinmi,,15:38,1,3,0.333,0,0,0.000,2,4,0.500,1,2,3,0,0,0,1,1,4,1.000
Orlando Johnson,,12:43,3,9,0.333,1,5,0.200,0,0,0.000,1,4,5,0,0,2,0,1,7,2.000
D.J. Augustin,,11:17,0,3,0.000,0,3,0.000,2,2,1.000,0,1,1,1,0,0,0,1,2,-6.000
Tyler Hansbrough,,9:11,0,1,0.000,0,0,0.000,0,0,0.000,2,0,2,0,0,0,1,2,0,-7.000
Sam Young,,4:12,1,1,1.000,0,0,0.000,1,1,1.000,0,0,0,0,0,0,1,0,3,-2.000
